Time(s),VenaCava-Fentanyl-Concentration(ug/mL),Fentanyl-PlasmaConcentration(ug/L),Fentanyl-SystemicMassCleared(ug),Fentanyl-MassInBody(ug),Fentanyl-LeftKidneyTissue-PartitionCoefficient,Fentanyl-RightKidneyTissue-PartitionCoefficient,Fentanyl-BrainTissue-PartitionCoefficient,Fentanyl-RightLungTissue-PartitionCoefficient,Fentanyl-LeftLungTissue-PartitionCoefficient,Fentanyl-LiverTissue-PartitionCoefficient,Fentanyl-BoneTissue-PartitionCoefficient,Fentanyl-FatTissue-PartitionCoefficient,Fentanyl-SkinTissue-PartitionCoefficient,Fentanyl-MuscleTissue-PartitionCoefficient,Fentanyl-SpleenTissue-PartitionCoefficient,Fentanyl-GutTissue-PartitionCoefficient,Fentanyl-MyocardiumTissue-PartitionCoefficient,LiverTissueIntracellular-Fentanyl-MassCleared(ug),LeftKidneyTissueIntracellular-Fentanyl-MassCleared(ug),RightKidneyTissueIntracellular-Fentanyl-MassCleared(ug),LeftKidneyTissueIntracellular-Fentanyl-MassExcreted(ug),RightKidneyTissueIntracellular-Fentanyl-MassExcreted(ug),LiverTissueIntracellular-Fentanyl-MassExcreted(ug)
0.02,0.004748765,2.000401,0.00,5.85,14.6190,14.6190,38.2420,3.5497,3.5497,23.9967,41.4571,65.3473,17.7920,14.9660,14.8424,30.1191,9.5634,0,0,0,0,0,0
1.02,0.230824485,101.228957,2.20,296.15,14.6254,14.6254,38.2588,3.5511,3.5511,24.0072,41.4753,65.3762,17.7998,14.9726,14.8488,30.1323,9.5675,0,0,0,0,0,0
2.02,0.432658904,196.786939,8.32,576.68,14.6277,14.6277,38.2648,3.5516,3.5516,24.0110,41.4819,65.3865,17.8025,14.9749,14.8511,30.1370,9.5690,0,0,0,0,0,0
3.02,0.396031669,193.221707,15.81,569.19,14.6229,14.6229,38.2521,3.5505,3.5505,24.0030,41.4681,65.3647,17.7967,14.9700,14.8462,30.1271,9.5659,0,0,0,0,0,0
4.02,0.362508466,189.223466,22.67,562.33,14.6222,14.6222,38.2504,3.5504,3.5504,24.0020,41.4662,65.3618,17.7959,14.9693,14.8456,30.1257,9.5655,0,0,0,0,0,0
5.02,0.331860120,184.513019,28.95,556.05,14.6280,14.6280,38.2658,3.5517,3.5517,24.0116,41.4829,65.3881,17.8029,14.9753,14.8515,30.1378,9.5692,0,0,0,0,0,0
6.02,0.303704122,178.645684,34.70,550.30,14.6284,14.6284,38.2667,3.5518,3.5518,24.0121,41.4838,65.3896,17.8033,14.9756,14.8518,30.1385,9.5694,0,0,0,0,0,0
7.02,0.278020063,173.993807,39.96,545.04,14.6247,14.6247,38.2570,3.5510,3.5510,24.0061,41.4734,65.3731,17.7989,14.9719,14.8481,30.1309,9.5671,0,0,0,0,0,0
8.02,0.254654761,170.012376,44.78,540.22,14.6275,14.6275,38.2644,3.5516,3.5516,24.0107,41.4814,65.3857,17.8023,14.9747,14.8509,30.1367,9.5689,0,0,0,0,0,0
9.02,0.233396474,166.283112,49.19,535.81,14.6329,14.6329,38.2786,3.5528,3.5528,24.0196,41.4967,65.4100,17.8088,14.9803,14.8563,30.1478,9.5723,0,0,0,0,0,0
10.02,0.214141324,162.726619,53.24,531.76,14.6341,14.6341,38.2819,3.5531,3.5531,24.0217,41.5003,65.4156,17.8103,14.9816,14.8576,30.1504,9.5731,0,0,0,0,0,0
11.02,0.196683061,158.732700,56.95,528.05,14.6292,14.6292,38.2688,3.5520,3.5520,24.0135,41.4862,65.3933,17.8043,14.9765,14.8526,30.1402,9.5700,0,0,0,0,0,0
12.02,0.180962304,155.650640,60.37,524.63,14.6335,14.6335,38.2803,3.5529,3.5529,24.0207,41.4986,65.4129,17.8096,14.9809,14.8570,30.1492,9.5728,0,0,0,0,0,0
13.02,0.166899151,153.099296,63.51,521.49,14.6374,14.6374,38.2905,3.5538,3.5538,24.0270,41.5097,65.4304,17.8142,14.9849,14.8609,30.1571,9.5752,0,0,0,0,0,0
14.02,0.154305924,150.701555,66.42,518.58,14.6342,14.6342,38.2820,3.5531,3.5531,24.0217,41.5005,65.4159,17.8104,14.9816,14.8576,30.1505,9.5732,0,0,0,0,0,0
15.02,0.143066566,148.428503,69.11,515.89,14.6310,14.6310,38.2737,3.5524,3.5524,24.0165,41.4914,65.4016,17.8065,14.9784,14.8545,30.1439,9.5711,0,0,0,0,0,0
16.02,0.133044914,146.214373,71.60,513.40,14.6379,14.6379,38.2920,3.5539,3.5539,24.0280,41.5113,65.4329,17.8149,14.9855,14.8614,30.1583,9.5756,0,0,0,0,0,0
17.02,0.124127930,144.207514,73.93,511.07,14.6410,14.6410,38.3001,3.5546,3.5546,24.0331,41.5201,65.4469,17.8186,14.9887,14.8646,30.1647,9.5776,0,0,0,0,0,0
18.02,0.116231970,142.269955,76.11,508.89,14.6362,14.6362,38.2872,3.5535,3.5535,24.0250,41.5061,65.4248,17.8127,14.9836,14.8596,30.1546,9.5744,0,0,0,0,0,0
19.02,0.109214259,140.388310,78.14,506.86,14.6358,14.6358,38.2863,3.5535,3.5535,24.0244,41.5051,65.4232,17.8123,14.9833,14.8593,30.1539,9.5742,0,0,0,0,0,0
20.02,0.102976795,138.544756,80.06,504.94,14.6403,14.6403,38.2983,3.5545,3.5545,24.0319,41.5181,65.4437,17.8178,14.9880,14.8639,30.1633,9.5772,0,0,0,0,0,0
21.02,0.097439632,136.872450,81.88,503.12,14.6425,14.6425,38.3040,3.5550,3.5550,24.0355,41.5244,65.4535,17.8204,14.9902,14.8660,30.1678,9.5786,0,0,0,0,0,0
22.02,0.092524007,135.282661,83.60,501.40,14.6380,14.6380,38.2921,3.5540,3.5540,24.0281,41.5114,65.4331,17.8150,14.9855,14.8615,30.1584,9.5756,0,0,0,0,0,0
23.02,0.088160333,133.504003,85.23,499.77,14.6408,14.6408,38.2995,3.5546,3.5546,24.0327,41.5195,65.4458,17.8184,14.9884,14.8643,30.1642,9.5775,0,0,0,0,0,0
24.02,0.084262896,131.720159,86.79,498.21,14.6460,14.6460,38.3133,3.5558,3.5558,24.0413,41.5344,65.4694,17.8247,14.9938,14.8696,30.1750,9.5808,0,0,0,0,0,0
25.02,0.080769567,129.959440,88.28,496.72,14.6473,14.6473,38.3167,3.5560,3.5560,24.0434,41.5380,65.4751,17.8262,14.9951,14.8709,30.1776,9.5816,0,0,0,0,0,0
26.02,0.077637318,128.307110,89.72,495.28,14.6420,14.6420,38.3026,3.5548,3.5548,24.0346,41.5228,65.4511,17.8198,14.9896,14.8655,30.1666,9.5782,0,0,0,0,0,0
27.02,0.074833985,126.822616,91.10,493.90,14.6453,14.6453,38.3115,3.5556,3.5556,24.0402,41.5325,65.4663,17.8238,14.9931,14.8689,30.1736,9.5804,0,0,0,0,0,0
28.02,0.072311196,125.093818,92.43,492.57,14.6493,14.6493,38.3220,3.5565,3.5565,24.0467,41.5438,65.4842,17.8286,14.9972,14.8729,30.1818,9.5829,0,0,0,0,0,0
29.02,0.070020490,123.315515,93.72,491.28,14.6458,14.6458,38.3128,3.5557,3.5557,24.0410,41.5338,65.4684,17.8244,14.9936,14.8694,30.1746,9.5807,0,0,0,0,0,0
30.02,0.067927021,121.571451,94.97,490.03,14.6423,14.6423,38.3034,3.5549,3.5549,24.0351,41.5237,65.4525,17.8201,14.9900,14.8658,30.1673,9.5784,0,0,0,0,0,0
31.02,0.066009578,119.871670,96.18,488.82,14.6453,14.6453,38.3113,3.5556,3.5556,24.0401,41.5323,65.4660,17.8238,14.9930,14.8688,30.1735,9.5803,0,0,0,0,0,0
32.02,0.064261884,118.388148,97.36,487.64,14.6506,14.6506,38.3255,3.5568,3.5568,24.0490,41.5476,65.4903,17.8302,14.9986,14.8742,30.1846,9.5838,0,0,0,0,0,0
33.02,0.062657504,116.721866,98.51,486.49,14.6455,14.6455,38.3120,3.5556,3.5556,24.0405,41.5329,65.4671,17.8240,14.9933,14.8691,30.1740,9.5805,0,0,0,0,0,0
34.02,0.061166848,114.972369,99.63,485.37,14.6447,14.6447,38.3099,3.5555,3.5555,24.0392,41.5307,65.4635,17.8231,14.9925,14.8683,30.1723,9.5800,0,0,0,0,0,0
35.02,0.059770731,113.268481,100.72,484.28,14.6487,14.6487,38.3205,3.5564,3.5564,24.0458,41.5422,65.4818,17.8280,14.9966,14.8723,30.1807,9.5826,0,0,0,0,0,0
36.02,0.058459676,111.596285,101.80,483.20,14.6521,14.6521,38.3295,3.5571,3.5571,24.0514,41.5519,65.4971,17.8320,15.0001,14.8758,30.1877,9.5848,0,0,0,0,0,0
37.02,0.057235937,110.097476,102.84,482.16,14.6460,14.6460,38.3132,3.5558,3.5558,24.0412,41.5343,65.4692,17.8246,14.9938,14.8695,30.1749,9.5808,0,0,0,0,0,0
38.02,0.056091367,108.520116,103.87,481.13,14.6474,14.6474,38.3171,3.5561,3.5561,24.0437,41.5385,65.4758,17.8264,14.9953,14.8710,30.1780,9.5817,0,0,0,0,0,0
39.02,0.055005004,106.846312,104.88,480.12,14.6523,14.6523,38.3299,3.5572,3.5572,24.0517,41.5524,65.4978,17.8322,15.0003,14.8759,30.1880,9.5849,0,0,0,0,0,0
40.02,0.053965032,105.220750,105.86,479.14,14.6532,14.6532,38.3324,3.5574,3.5574,24.0532,41.5550,65.5020,17.8334,15.0012,14.8768,30.1899,9.5855,0,0,0,0,0,0
41.02,0.052967661,103.635365,106.83,478.17,14.6479,14.6479,38.3183,3.5562,3.5562,24.0444,41.5398,65.4779,17.8269,14.9957,14.8715,30.1789,9.5820,0,0,0,0,0,0
42.02,0.052016236,102.156492,107.78,477.22,14.6492,14.6492,38.3219,3.5565,3.5565,24.0467,41.5437,65.4840,17.8286,14.9971,14.8728,30.1817,9.5829,0,0,0,0,0,0
43.02,0.051114456,100.680686,108.71,476.29,14.6543,14.6543,38.3352,3.5576,3.5576,24.0550,41.5581,65.5069,17.8347,15.0024,14.8779,30.1922,9.5862,0,0,0,0,0,0
44.02,0.050246416,99.124323,109.63,475.37,14.6508,14.6508,38.3261,3.5568,3.5568,24.0493,41.5482,65.4912,17.8305,14.9988,14.8744,30.1850,9.5839,0,0,0,0,0,0
45.02,0.049403024,97.605108,110.53,474.47,14.6472,14.6472,38.3165,3.5560,3.5560,24.0433,41.5378,65.4748,17.8261,14.9950,14.8708,30.1775,9.5816,0,0,0,0,0,0
46.02,0.048582638,96.129174,111.42,473.58,14.6497,14.6497,38.3231,3.5566,3.5566,24.0474,41.5450,65.4861,17.8291,14.9976,14.8733,30.1827,9.5832,0,0,0,0,0,0
47.02,0.047787695,94.715657,112.29,472.71,14.6548,14.6548,38.3365,3.5577,3.5577,24.0558,41.5596,65.5091,17.8353,15.0029,14.8784,30.1932,9.5865,0,0,0,0,0,0
48.02,0.047027868,93.354045,113.15,471.85,14.6506,14.6506,38.3255,3.5568,3.5568,24.0489,41.5476,65.4902,17.8302,14.9986,14.8742,30.1845,9.5838,0,0,0,0,0,0
49.02,0.046291895,91.930368,114.00,471.00,14.6493,14.6493,38.3220,3.5565,3.5565,24.0467,41.5438,65.4842,17.8286,14.9972,14.8729,30.1818,9.5829,0,0,0,0,0,0
50.02,0.045571088,90.528682,114.83,470.17,14.6533,14.6533,38.3325,3.5574,3.5574,24.0533,41.5552,65.5023,17.8334,15.0013,14.8769,30.1901,9.5855,0,0,0,0,0,0
51.02,0.044863863,89.170935,115.65,469.35,14.6566,14.6566,38.3413,3.5582,3.5582,24.0588,41.5648,65.5173,17.8375,15.0047,14.8803,30.1970,9.5877,0,0,0,0,0,0
52.02,0.044171892,87.853233,116.46,468.54,14.6527,14.6527,38.3311,3.5573,3.5573,24.0524,41.5536,65.4998,17.8328,15.0007,14.8764,30.1889,9.5852,0,0,0,0,0,0
53.02,0.043506404,86.606357,117.25,467.75,14.6514,14.6514,38.3276,3.5570,3.5570,24.0502,41.5499,65.4938,17.8312,14.9994,14.8750,30.1862,9.5843,0,0,0,0,0,0
54.02,0.042861583,85.317025,118.03,466.97,14.6566,14.6566,38.3413,3.5582,3.5582,24.0589,41.5648,65.5174,17.8375,15.0047,14.8803,30.1970,9.5877,0,0,0,0,0,0
55.02,0.042227924,84.034400,118.80,466.20,14.6575,14.6575,38.3437,3.5584,3.5584,24.0603,41.5673,65.5214,17.8385,15.0057,14.8812,30.1988,9.5882,0,0,0,0,0,0
56.02,0.041603049,82.795808,119.56,465.44,14.6522,14.6522,38.3296,3.5572,3.5572,24.0515,41.5521,65.4973,17.8321,15.0002,14.8758,30.1878,9.5848,0,0,0,0,0,0
57.02,0.040988400,81.590160,120.31,464.69,14.6513,14.6513,38.3274,3.5570,3.5570,24.0502,41.5497,65.4936,17.8311,14.9993,14.8750,30.1861,9.5843,0,0,0,0,0,0
58.02,0.040393298,80.446553,121.05,463.95,14.6577,14.6577,38.3441,3.5584,3.5584,24.0606,41.5678,65.5221,17.8387,15.0058,14.8813,30.1992,9.5883,0,0,0,0,0,0
59.02,0.039818606,79.286045,121.77,463.23,14.6550,14.6550,38.3371,3.5578,3.5578,24.0562,41.5602,65.5102,17.8355,15.0031,14.8787,30.1937,9.5866,0,0,0,0,0,0
60.02,0.039253719,78.120764,122.49,462.51,14.6514,14.6514,38.3275,3.5570,3.5570,24.0502,41.5497,65.4936,17.8311,14.9993,14.8750,30.1861,9.5843,0,0,0,0,0,0
61.02,0.038695096,76.995339,123.19,461.81,14.6538,14.6538,38.3339,3.5575,3.5575,24.0542,41.5567,65.5046,17.8341,15.0018,14.8774,30.1911,9.5858,0,0,0,0,0,0
62.02,0.038143801,75.901120,123.89,461.11,14.6585,14.6585,38.3464,3.5586,3.5586,24.0620,41.5702,65.5260,17.8398,15.0067,14.8822,30.2009,9.5889,0,0,0,0,0,0
63.02,0.037606130,74.852662,124.58,460.42,14.6564,14.6564,38.3409,3.5581,3.5581,24.0586,41.5643,65.5167,17.8373,15.0046,14.8801,30.1967,9.5876,0,0,0,0,0,0
64.02,0.037089259,73.810232,125.25,459.75,14.6532,14.6532,38.3324,3.5574,3.5574,24.0533,41.5551,65.5021,17.8334,15.0013,14.8769,30.1900,9.5855,0,0,0,0,0,0
65.02,0.036582347,72.757176,125.92,459.08,14.6571,14.6571,38.3427,3.5583,3.5583,24.0597,41.5663,65.5197,17.8381,15.0053,14.8808,30.1981,9.5880,0,0,0,0,0,0
66.02,0.036079999,71.735518,126.58,458.42,14.6604,14.6604,38.3513,3.5590,3.5590,24.0651,41.5756,65.5345,17.8420,15.0086,14.8841,30.2048,9.5901,0,0,0,0,0,0
67.02,0.035582243,70.744138,127.23,457.77,14.6568,14.6568,38.3418,3.5582,3.5582,24.0591,41.5652,65.5181,17.8377,15.0049,14.8804,30.1973,9.5878,0,0,0,0,0,0
68.02,0.035092335,69.785939,127.87,457.13,14.6538,14.6538,38.3340,3.5575,3.5575,24.0543,41.5568,65.5048,17.8341,15.0019,14.8775,30.1913,9.5859,0,0,0,0,0,0
69.02,0.034620856,68.849207,128.50,456.50,14.6597,14.6597,38.3495,3.5589,3.5589,24.0640,41.5737,65.5314,17.8412,15.0079,14.8834,30.2034,9.5897,0,0,0,0,0,0
70.02,0.034158389,67.898793,129.12,455.88,14.6610,14.6610,38.3529,3.5591,3.5591,24.0661,41.5773,65.5371,17.8427,15.0092,14.8847,30.2060,9.5905,0,0,0,0,0,0
71.02,0.033698054,66.970596,129.74,455.26,14.6556,14.6556,38.3387,3.5579,3.5579,24.0572,41.5620,65.5129,17.8363,15.0037,14.8793,30.1949,9.5870,0,0,0,0,0,0
72.02,0.033239728,66.070531,130.34,454.66,14.6547,14.6547,38.3364,3.5577,3.5577,24.0558,41.5595,65.5090,17.8352,15.0028,14.8784,30.1931,9.5865,0,0,0,0,0,0
73.02,0.032785628,65.193198,130.94,454.06,14.6589,14.6589,38.3474,3.5587,3.5587,24.0627,41.5714,65.5277,17.8402,15.0071,14.8826,30.2017,9.5892,0,0,0,0,0,0
74.02,0.032347023,64.346885,131.53,453.47,14.6589,14.6589,38.3473,3.5587,3.5587,24.0626,41.5712,65.5275,17.8402,15.0071,14.8825,30.2017,9.5891,0,0,0,0,0,0
75.02,0.031919130,63.488819,132.11,452.89,14.6545,14.6545,38.3358,3.5577,3.5577,24.0554,41.5588,65.5079,17.8349,15.0026,14.8782,30.1927,9.5863,0,0,0,0,0,0
76.02,0.031493752,62.641869,132.69,452.31,14.6569,14.6569,38.3420,3.5582,3.5582,24.0593,41.5655,65.5185,17.8378,15.0050,14.8805,30.1975,9.5878,0,0,0,0,0,0
77.02,0.031069587,61.820586,133.25,451.75,14.6615,14.6615,38.3543,3.5593,3.5593,24.0670,41.5788,65.5395,17.8434,15.0098,14.8852,30.2071,9.5908,0,0,0,0,0,0
78.02,0.030648233,61.018078,133.81,451.19,14.6623,14.6623,38.3563,3.5594,3.5594,24.0682,41.5810,65.5430,17.8443,15.0106,14.8860,30.2087,9.5913,0,0,0,0,0,0
79.02,0.030238547,60.246885,134.36,450.64,14.6563,14.6563,38.3404,3.5581,3.5581,24.0583,41.5638,65.5158,17.8371,15.0044,14.8799,30.1963,9.5874,0,0,0,0,0,0
80.02,0.029841753,59.470190,134.91,450.09,14.6599,14.6599,38.3500,3.5589,3.5589,24.0643,41.5741,65.5321,17.8414,15.0081,14.8836,30.2038,9.5898,0,0,0,0,0,0
81.02,0.029448452,58.694829,135.44,449.55,14.6630,14.6630,38.3584,3.5596,3.5596,24.0695,41.5833,65.5465,17.8453,15.0114,14.8868,30.2104,9.5918,0,0,0,0,0,0
82.02,0.029056063,57.943085,135.97,449.02,14.6594,14.6594,38.3487,3.5588,3.5588,24.0635,41.5727,65.5299,17.8408,15.0076,14.8831,30.2027,9.5895,0,0,0,0,0,0
83.02,0.028665912,57.209655,136.50,448.50,14.6556,14.6556,38.3388,3.5579,3.5579,24.0573,41.5620,65.5130,17.8363,15.0038,14.8793,30.1950,9.5870,0,0,0,0,0,0
84.02,0.028283676,56.500556,137.01,447.99,14.6605,14.6605,38.3515,3.5590,3.5590,24.0652,41.5758,65.5348,17.8421,15.0087,14.8842,30.2050,9.5902,0,0,0,0,0,0
85.02,0.027915566,55.794719,137.52,447.48,14.6632,14.6632,38.3589,3.5597,3.5597,24.0699,41.5838,65.5475,17.8455,15.0116,14.8870,30.2108,9.5920,0,0,0,0,0,0
86.02,0.027552352,55.085547,138.02,446.97,14.6579,14.6579,38.3448,3.5584,3.5584,24.0610,41.5685,65.5232,17.8390,15.0061,14.8816,30.1997,9.5885,0,0,0,0,0,0
87.02,0.027190117,54.395440,138.52,446.48,14.6570,14.6570,38.3424,3.5582,3.5582,24.0595,41.5659,65.5191,17.8379,15.0051,14.8807,30.1978,9.5879,0,0,0,0,0,0
88.02,0.026829667,53.722329,139.01,445.99,14.6608,14.6608,38.3525,3.5591,3.5591,24.0658,41.5768,65.5364,17.8426,15.0091,14.8845,30.2057,9.5904,0,0,0,0,0,0
89.02,0.026474182,53.067059,139.49,445.50,14.6627,14.6627,38.3575,3.5595,3.5595,24.0690,41.5823,65.5451,17.8449,15.0111,14.8865,30.2097,9.5916,0,0,0,0,0,0
90.02,0.026132569,52.424983,139.97,445.03,14.6563,14.6563,38.3405,3.5581,3.5581,24.0583,41.5638,65.5158,17.8371,15.0044,14.8799,30.1963,9.5875,0,0,0,0,0,0
91.02,0.025797542,51.776151,140.44,444.56,14.6577,14.6577,38.3441,3.5584,3.5584,24.0606,41.5678,65.5221,17.8387,15.0058,14.8813,30.1992,9.5884,0,0,0,0,0,0
92.02,0.025463825,51.140198,140.90,444.09,14.6619,14.6619,38.3553,3.5593,3.5593,24.0676,41.5799,65.5413,17.8439,15.0102,14.8856,30.2079,9.5911,0,0,0,0,0,0
93.02,0.025131417,50.520593,141.36,443.63,14.6625,14.6625,38.3568,3.5595,3.5595,24.0685,41.5816,65.5438,17.8445,15.0108,14.8862,30.2091,9.5915,0,0,0,0,0,0
94.02,0.024802146,49.914352,141.81,443.18,14.6563,14.6563,38.3407,3.5581,3.5581,24.0584,41.5640,65.5162,17.8372,15.0045,14.8800,30.1964,9.5875,0,0,0,0,0,0
95.02,0.024484926,49.327830,142.26,442.73,14.6573,14.6573,38.3431,3.5583,3.5583,24.0600,41.5667,65.5204,17.8383,15.0054,14.8810,30.1984,9.5881,0,0,0,0,0,0
96.02,0.024175990,48.733759,142.70,442.29,14.6606,14.6606,38.3521,3.5591,3.5591,24.0656,41.5764,65.5357,17.8424,15.0089,14.8844,30.2054,9.5903,0,0,0,0,0,0
97.02,0.023868910,48.146407,143.13,441.86,14.6566,14.6566,38.3414,3.5582,3.5582,24.0589,41.5649,65.5175,17.8375,15.0048,14.8803,30.1971,9.5877,0,0,0,0,0,0
98.02,0.023562809,47.575241,143.56,441.43,14.6517,14.6517,38.3283,3.5570,3.5570,24.0507,41.5506,65.4950,17.8315,14.9997,14.8753,30.1868,9.5845,0,0,0,0,0,0
99.02,0.023258980,47.015096,143.99,441.00,14.6528,14.6528,38.3313,3.5573,3.5573,24.0526,41.5539,65.5002,17.8329,15.0008,14.8764,30.1891,9.5852,0,0,0,0,0,0
100.02,0.022964127,46.474349,144.41,440.58,14.6572,14.6572,38.3429,3.5583,3.5583,24.0598,41.5665,65.5201,17.8382,15.0054,14.8809,30.1982,9.5881,0,0,0,0,0,0
101.02,0.022679084,45.930685,144.82,440.17,14.6513,14.6513,38.3274,3.5570,3.5570,24.0502,41.5497,65.4936,17.8311,14.9993,14.8750,30.1861,9.5843,0,0,0,0,0,0
102.02,0.022396699,45.387915,145.23,439.76,14.6492,14.6492,38.3217,3.5565,3.5565,24.0466,41.5435,65.4837,17.8285,14.9971,14.8728,30.1816,9.5829,0,0,0,0,0,0
103.02,0.022115086,44.859705,145.63,439.36,14.6522,14.6522,38.3297,3.5572,3.5572,24.0516,41.5522,65.4975,17.8322,15.0002,14.8758,30.1879,9.5848,0,0,0,0,0,0
104.02,0.021835171,44.342135,146.03,438.96,14.6552,14.6552,38.3378,3.5578,3.5578,24.0566,41.5609,65.5112,17.8358,15.0033,14.8789,30.1942,9.5868,0,0,0,0,0,0
105.02,0.021561173,43.840316,146.42,438.56,14.6489,14.6489,38.3208,3.5564,3.5564,24.0460,41.5425,65.4823,17.8281,14.9967,14.8725,30.1809,9.5827,0,0,0,0,0,0
106.02,0.021297819,43.342071,146.81,438.17,14.6474,14.6474,38.3169,3.5561,3.5561,24.0435,41.5382,65.4755,17.8263,14.9952,14.8709,30.1778,9.5817,0,0,0,0,0,0
107.02,0.021038131,42.840695,147.19,437.79,14.6514,14.6514,38.3275,3.5570,3.5570,24.0502,41.5498,65.4937,17.8311,14.9993,14.8750,30.1861,9.5843,0,0,0,0,0,0
108.02,0.020779090,42.351067,147.57,437.41,14.6524,14.6524,38.3303,3.5572,3.5572,24.0520,41.5529,65.4985,17.8324,15.0005,14.8761,30.1884,9.5850,0,0,0,0,0,0
109.02,0.020521292,41.872375,147.95,437.03,14.6466,14.6466,38.3150,3.5559,3.5559,24.0424,41.5362,65.4723,17.8254,14.9945,14.8702,30.1763,9.5812,0,0,0,0,0,0
110.02,0.020267160,41.405306,148.32,436.66,14.6454,14.6454,38.3117,3.5556,3.5556,24.0403,41.5327,65.4667,17.8239,14.9932,14.8690,30.1738,9.5804,0,0,0,0,0,0
111.02,0.020023310,40.947353,148.68,436.30,14.6507,14.6507,38.3256,3.5568,3.5568,24.0490,41.5477,65.4904,17.8303,14.9986,14.8743,30.1847,9.5838,0,0,0,0,0,0
112.02,0.019784190,40.484545,149.04,435.94,14.6481,14.6481,38.3188,3.5562,3.5562,24.0447,41.5403,65.4787,17.8271,14.9959,14.8717,30.1793,9.5822,0,0,0,0,0,0
113.02,0.019545887,40.030411,149.40,435.58,14.6428,14.6428,38.3049,3.5550,3.5550,24.0360,41.5252,65.4549,17.8208,14.9905,14.8664,30.1684,9.5788,0,0,0,0,0,0
114.02,0.019308498,39.586850,149.75,435.23,14.6435,14.6435,38.3067,3.5552,3.5552,24.0372,41.5272,65.4581,17.8216,14.9912,14.8671,30.1698,9.5792,0,0,0,0,0,0
115.02,0.019073324,39.151093,150.10,434.88,14.6477,14.6477,38.3177,3.5561,3.5561,24.0441,41.5392,65.4770,17.8267,14.9955,14.8713,30.1785,9.5819,0,0,0,0,0,0
116.02,0.018846876,38.729043,150.44,434.53,14.6445,14.6445,38.3093,3.5554,3.5554,24.0388,41.5301,65.4626,17.8228,14.9923,14.8681,30.1719,9.5798,0,0,0,0,0,0
117.02,0.018626384,38.302817,150.78,434.19,14.6412,14.6412,38.3007,3.5547,3.5547,24.0334,41.5207,65.4478,17.8189,14.9889,14.8648,30.1651,9.5777,0,0,0,0,0,0
118.02,0.018407141,37.880594,151.12,433.86,14.6444,14.6444,38.3092,3.5554,3.5554,24.0387,41.5299,65.4623,17.8228,14.9922,14.8680,30.1718,9.5798,0,0,0,0,0,0
119.02,0.018188466,37.468467,151.45,433.52,14.6482,14.6482,38.3191,3.5563,3.5563,24.0450,41.5407,65.4794,17.8273,14.9961,14.8718,30.1796,9.5822,0,0,0,0,0,0
120.02,0.017971257,37.063199,151.77,433.19,14.6459,14.6459,38.3131,3.5557,3.5557,24.0412,41.5342,65.4691,17.8246,14.9937,14.8695,30.1749,9.5808,0,0,0,0,0,0
121.02,0.017760501,36.671939,152.10,432.87,14.6409,14.6409,38.2998,3.5546,3.5546,24.0329,41.5198,65.4463,17.8185,14.9886,14.8644,30.1645,9.5775,0,0,0,0,0,0
122.02,0.017556852,36.279153,152.42,432.55,14.6451,14.6451,38.3109,3.5556,3.5556,24.0398,41.5318,65.4652,17.8235,14.9929,14.8687,30.1731,9.5802,0,0,0,0,0,0
123.02,0.017354965,35.886301,152.73,432.23,14.6469,14.6469,38.3156,3.5560,3.5560,24.0427,41.5369,65.4733,17.8257,14.9947,14.8705,30.1768,9.5814,0,0,0,0,0,0
124.02,0.017153441,35.503326,153.05,431.92,14.6416,14.6416,38.3017,3.5548,3.5548,24.0341,41.5219,65.4496,17.8194,14.9893,14.8652,30.1660,9.5780,0,0,0,0,0,0
125.02,0.016953039,35.127456,153.36,431.61,14.6392,14.6392,38.2953,3.5542,3.5542,24.0300,41.5148,65.4385,17.8164,14.9868,14.8627,30.1609,9.5764,0,0,0,0,0,0
126.02,0.016756859,34.761979,153.66,431.30,14.6446,14.6446,38.3095,3.5554,3.5554,24.0389,41.5302,65.4628,17.8229,14.9923,14.8681,30.1720,9.5799,0,0,0,0,0,0
127.02,0.016568286,34.399301,153.96,431.00,14.6448,14.6448,38.3101,3.5555,3.5555,24.0393,41.5309,65.4639,17.8232,14.9926,14.8684,30.1725,9.5800,0,0,0,0,0,0
128.02,0.016382192,34.034996,154.26,430.70,14.6393,14.6393,38.2955,3.5542,3.5542,24.0302,41.5151,65.4389,17.8165,14.9869,14.8628,30.1611,9.5765,0,0,0,0,0,0
129.02,0.016196458,33.678749,154.56,430.40,14.6394,14.6394,38.2959,3.5543,3.5543,24.0304,41.5155,65.4396,17.8167,14.9870,14.8629,30.1614,9.5766,0,0,0,0,0,0
130.02,0.016011533,33.329262,154.85,430.11,14.6434,14.6434,38.3064,3.5552,3.5552,24.0370,41.5269,65.4576,17.8215,14.9911,14.8670,30.1696,9.5791,0,0,0,0,0,0
131.02,0.015829113,32.987073,155.14,429.82,14.6438,14.6438,38.3075,3.5553,3.5553,24.0377,41.5281,65.4595,17.8220,14.9916,14.8674,30.1705,9.5794,0,0,0,0,0,0
132.02,0.015654047,32.652531,155.42,429.53,14.6380,14.6380,38.2921,3.5540,3.5540,24.0281,41.5114,65.4331,17.8150,14.9855,14.8615,30.1584,9.5756,0,0,0,0,0,0
133.02,0.015482349,32.315010,155.70,429.25,14.6408,14.6408,38.2997,3.5546,3.5546,24.0328,41.5196,65.4460,17.8184,14.9885,14.8644,30.1643,9.5775,0,0,0,0,0,0
