Time(s),AorticWallStrain,Afferent_AorticBaroreceptor,PleuralPressure,Test_FilteredCVP,Test_CentralSignal,MeanLungVolume,MuscleAutoregulation,Afferent_Baroreceptor,Afferent_Chemoreceptor,Afferent_PulmonaryStretch,Ursino_SympatheticNode,Ursino_SympatheticPeripheral,Afferent_Strain,Ursino_Parasympathetic,HypoxiaThreshold_Heart,HypoxiaThreshold_Peripheral,HypocapniaThreshold_Heart,HypocapniaThreshold_Peripheral,BaroreceptorOperatingPoint,SympatheticFatigue,HeartRateMod_Sympathetic,HeartRateMod_Vagal,ResistanceScale_Muscle,ResistanceScale_Splanchnic,ResistanceScale_Extrasplanchnic,ResistanceScale_Myocardium,Resistance_TotalPeripheral(mmHg_s_Per_mL),ElastanceScale,ComplianceScale,ComplianceModifier,VenaCava_Volume(mL),InsulinSynthesisRate(pmol/min)
0.30,0.0439243,27.3785,-4.16649,8.16771,9.97805,2.67909,0,25.3154,3.54572,12.0187,4.46216,4.02473,0.0423858,3.72916,0.450703,1.70643e-14,0.00329376,0.00329376,114.021,0,-0.23071,0.578286,1.00091,1.00035,1.00091,0.999557,0.938166,1.00476,0.999671,-0.0998269,1095.33,135
0.32,0.043924,27.378,-4.16559,8.16759,9.97787,2.67826,0,25.3154,3.54571,12.0163,4.46225,4.02489,0.0423858,3.72936,0.450734,1.70653e-14,0.00329871,0.00329871,114.021,0,-0.230713,0.578292,1.00091,1.00035,1.00091,0.999556,0.938166,1.00476,0.999671,-0.0998269,1092.46,135
0.34,0.0439238,27.3777,-4.16487,8.16743,9.97764,2.67745,0,25.3154,3.5457,12.014,4.46234,4.02505,0.0423858,3.72957,0.450765,1.70664e-14,0.00330365,0.00330365,114.021,0,-0.230715,0.578298,1.00091,1.00035,1.00091,0.999555,0.938166,1.00476,0.999671,-0.099827,1089.78,135
0.36,0.0439235,27.3775,-4.16431,8.16725,9.97738,2.67669,0,25.3154,3.5457,12.0116,4.46242,4.02522,0.0423858,3.72979,0.450795,1.70674e-14,0.00330857,0.00330857,114.021,0,-0.230718,0.578304,1.00092,1.00035,1.00092,0.999554,0.938166,1.00476,0.999671,-0.099827,1087.28,135
0.38,0.0439232,27.3773,-4.1639,8.16705,9.97708,2.67598,0,25.3154,3.54569,12.0092,4.46251,4.02538,0.0423859,3.73002,0.450826,1.70684e-14,0.00331349,0.00331349,114.021,0,-0.23072,0.57831,1.00092,1.00035,1.00092,0.999554,0.938166,1.00476,0.999671,-0.099827,1084.97,135
0.40,0.043923,27.3772,-4.16363,8.16682,9.97676,2.67533,0,25.3154,3.54568,12.0068,4.4626,4.02555,0.0423859,3.73025,0.450856,1.70694e-14,0.00331839,0.00331839,114.021,0,-0.230723,0.578317,1.00092,1.00036,1.00092,0.999554,0.938166,1.00476,0.999671,-0.0998271,1082.83,135
0.42,0.0439227,27.3771,-4.1635,8.16658,9.9764,2.67476,0,25.3154,3.54567,12.0045,4.46268,4.02572,0.0423859,3.7305,0.450887,1.70705e-14,0.00332328,0.00332328,114.021,0,-0.230726,0.578325,1.00093,1.00036,1.00092,0.999554,0.938166,1.00476,0.999671,-0.0998271,1080.87,135
0.44,0.0439225,27.3772,-4.16349,8.16632,9.97602,2.67427,0,25.3154,3.54567,12.0021,4.46277,4.0259,0.0423859,3.73074,0.450918,1.70715e-14,0.00332816,0.00332816,114.021,0,-0.230728,0.578333,1.00093,1.00036,1.00093,0.999555,0.938166,1.00477,0.999671,-0.0998272,1079.07,135
0.46,0.0439222,27.3773,-4.16359,8.16604,9.97561,2.67386,0,25.3154,3.54566,11.9997,4.46285,4.02607,0.0423859,3.73099,0.450948,1.70725e-14,0.00333302,0.00333302,114.021,0,-0.230731,0.578341,1.00093,1.00036,1.00093,0.999556,0.938166,1.00477,0.999671,-0.0998273,1077.43,135
0.48,0.043922,27.3774,-4.16381,8.16575,9.97519,2.67355,0,25.3154,3.54565,11.9973,4.46294,4.02624,0.042386,3.73125,0.450979,1.70735e-14,0.00333787,0.00333787,114.021,0,-0.230734,0.578349,1.00093,1.00036,1.00093,0.999557,0.938166,1.00477,0.999671,-0.0998274,1075.93,135
