Time(s),AorticWallStrain,Afferent_AorticBaroreceptor,PleuralPressure,Test_FilteredCVP,Test_CentralSignal,MeanLungVolume,MuscleAutoregulation,Afferent_Baroreceptor,Afferent_Chemoreceptor,Afferent_PulmonaryStretch,Ursino_SympatheticNode,Ursino_SympatheticPeripheral,Afferent_Strain,Ursino_Parasympathetic,HypoxiaThreshold_Heart,HypoxiaThreshold_Peripheral,HypocapniaThreshold_Heart,HypocapniaThreshold_Peripheral,BaroreceptorOperatingPoint,SympatheticFatigue,HeartRateMod_Sympathetic,HeartRateMod_Vagal,ResistanceScale_Muscle,ResistanceScale_Splanchnic,ResistanceScale_Extrasplanchnic,ResistanceScale_Myocardium,Resistance_TotalPeripheral(mmHg_s_Per_mL),ElastanceScale,ComplianceScale,ComplianceModifier,VenaCava_Volume(mL),InsulinSynthesisRate(pmol/min)
29.38,0.0439343,27.3954,-4.21364,8.16838,9.97902,2.73339,0,25.3088,3.53611,12.1058,4.46372,4.01814,0.0423836,3.72011,0.479085,1.79933e-14,0.00313774,0.00313774,114.022,0,-0.231037,0.578285,1.00075,1.00029,1.00075,0.999912,0.937899,1.00513,0.999777,-0.0997317,1092.28,132
29.40,0.0439341,27.3949,-4.21265,8.16838,9.97902,2.73202,0,25.3088,3.53611,12.105,4.46377,4.0182,0.0423835,3.72016,0.479096,1.79937e-14,0.00313306,0.00313306,114.022,0,-0.231037,0.578271,1.00075,1.00029,1.00075,0.999911,0.937899,1.00513,0.999777,-0.0997314,1094.26,132
29.42,0.0439339,27.3944,-4.21166,8.1684,9.97905,2.73067,0,25.3088,3.5361,12.1041,4.46381,4.01826,0.0423835,3.72021,0.479108,1.7994e-14,0.00312832,0.00312832,114.022,0,-0.231037,0.578258,1.00075,1.00029,1.00075,0.99991,0.937899,1.00513,0.999777,-0.0997312,1096.24,132
29.44,0.0439336,27.3939,-4.21067,8.16843,9.97909,2.72933,0,25.3089,3.53609,12.1031,4.46384,4.01832,0.0423835,3.72026,0.479119,1.79944e-14,0.00312352,0.00312352,114.022,0,-0.231038,0.578245,1.00074,1.00029,1.00074,0.999909,0.937899,1.00513,0.999778,-0.099731,1098.22,132
29.46,0.0439334,27.3934,-4.20968,8.16847,9.97916,2.728,0,25.3089,3.53609,12.1021,4.46388,4.01838,0.0423834,3.72032,0.479131,1.79947e-14,0.00311867,0.00311867,114.022,0,-0.231038,0.578232,1.00074,1.00029,1.00074,0.999907,0.937899,1.00513,0.999778,-0.0997308,1100.2,132
29.48,0.0439332,27.3929,-4.20869,8.16853,9.97925,2.72669,0,25.3089,3.53608,12.1011,4.4639,4.01843,0.0423834,3.72039,0.479142,1.79951e-14,0.00311379,0.00311379,114.022,0,-0.231039,0.57822,1.00074,1.00028,1.00074,0.999905,0.937899,1.00513,0.999778,-0.0997306,1102.18,132
29.50,0.043933,27.3925,-4.20771,8.16861,9.97936,2.72539,0,25.3089,3.53607,12.1,4.46392,4.01849,0.0423834,3.72046,0.479153,1.79954e-14,0.00310889,0.00310889,114.022,0,-0.231039,0.578208,1.00074,1.00028,1.00074,0.999903,0.937899,1.00513,0.999778,-0.0997304,1104.16,132
29.52,0.0439327,27.392,-4.20673,8.1687,9.97949,2.7241,0,25.3089,3.53607,12.0989,4.46394,4.01854,0.0423834,3.72053,0.479165,1.79957e-14,0.00310399,0.00310399,114.022,0,-0.23104,0.578196,1.00073,1.00028,1.00073,0.9999,0.937899,1.00513,0.999779,-0.0997302,1106.12,132
29.54,0.0439325,27.3915,-4.20575,8.16881,9.97965,2.72282,0,25.3089,3.53606,12.0977,4.46395,4.01859,0.0423833,3.72061,0.479176,1.79961e-14,0.0030991,0.0030991,114.022,0,-0.23104,0.578185,1.00073,1.00028,1.00073,0.999898,0.937899,1.00513,0.999779,-0.09973,1108.08,132
29.56,0.0439323,27.391,-4.20477,8.16893,9.97982,2.72155,0,25.3089,3.53605,12.0964,4.46396,4.01864,0.0423833,3.7207,0.479187,1.79964e-14,0.00309422,0.00309422,114.022,0,-0.231041,0.578173,1.00073,1.00028,1.00073,0.999895,0.937899,1.00513,0.999779,-0.0997298,1110.04,132
29.58,0.043932,27.3906,-4.2038,8.16906,9.98002,2.7203,0,25.3089,3.53605,12.0952,4.46396,4.01868,0.0423833,3.72078,0.479198,1.79968e-14,0.00308935,0.00308935,114.022,0,-0.231041,0.578163,1.00073,1.00028,1.00073,0.999893,0.937899,1.00513,0.999779,-0.0997296,1111.02,132
29.60,0.0439318,27.3901,-4.20282,8.1692,9.98023,2.71906,0,25.3089,3.53604,12.0939,4.46396,4.01873,0.0423832,3.72088,0.47921,1.79971e-14,0.00308449,0.00308449,114.022,0,-0.231042,0.578152,1.00073,1.00028,1.00073,0.99989,0.937899,1.00513,0.999779,-0.0997295,1109.74,132
29.62,0.0439316,27.3896,-4.20185,8.16933,9.98041,2.71783,0,25.3089,3.53603,12.0925,4.46396,4.01878,0.0423832,3.72097,0.479221,1.79975e-14,0.00307964,0.00307964,114.022,0,-0.231042,0.578142,1.00072,1.00028,1.00072,0.999888,0.937899,1.00513,0.99978,-0.0997293,1107.24,132
29.64,0.0439313,27.3891,-4.20088,8.16943,9.98055,2.71661,0,25.3089,3.53603,12.0911,4.46398,4.01884,0.0423832,3.72108,0.479232,1.79978e-14,0.00307479,0.00307479,114.022,0,-0.231043,0.578132,1.00072,1.00028,1.00072,0.999886,0.937899,1.00513,0.99978,-0.0997291,1104.2,132
29.66,0.0439311,27.3887,-4.19992,8.16949,9.98065,2.71541,0,25.3089,3.53602,12.0897,4.464,4.01892,0.0423832,3.72118,0.479243,1.79982e-14,0.00306995,0.00306995,114.022,0,-0.231044,0.578123,1.00072,1.00028,1.00072,0.999884,0.937899,1.00513,0.99978,-0.0997289,1101,132
29.68,0.0439308,27.3882,-4.19895,8.16953,9.9807,2.71421,0,25.3089,3.53601,12.0882,4.46403,4.019,0.0423832,3.72129,0.479255,1.79985e-14,0.0030651,0.0030651,114.022,0,-0.231044,0.578114,1.00072,1.00028,1.00072,0.999882,0.937899,1.00513,0.99978,-0.0997287,1097.84,132
29.70,0.0439306,27.3877,-4.19799,8.16953,9.9807,2.71303,0,25.3089,3.53601,12.0867,4.46408,4.01909,0.0423831,3.72141,0.479266,1.79988e-14,0.00306026,0.00306026,114.022,0,-0.231045,0.578105,1.00072,1.00028,1.00072,0.99988,0.937899,1.00513,0.99978,-0.0997286,1094.81,132
29.72,0.0439303,27.3873,-4.19703,8.1695,9.98065,2.71186,0,25.3089,3.536,12.0851,4.46413,4.01919,0.0423831,3.72152,0.479277,1.79992e-14,0.00305541,0.00305541,114.022,0,-0.231045,0.578097,1.00071,1.00027,1.00071,0.999879,0.937899,1.00513,0.999781,-0.0997284,1091.94,132
29.74,0.0439301,27.3868,-4.19607,8.16944,9.98056,2.7107,0,25.3089,3.53599,12.0836,4.4642,4.0193,0.0423831,3.72165,0.479288,1.79995e-14,0.00305057,0.00305057,114.022,0,-0.231046,0.578089,1.00071,1.00027,1.00071,0.999878,0.937899,1.00513,0.999781,-0.0997282,1089.26,132
29.76,0.0439298,27.3864,-4.19511,8.16935,9.98043,2.70956,0,25.3089,3.53599,12.082,4.46427,4.01942,0.0423831,3.72177,0.4793,1.79999e-14,0.00304572,0.00304572,114.022,0,-0.231047,0.578081,1.00071,1.00027,1.00071,0.999877,0.937899,1.00513,0.999781,-0.0997281,1086.77,132
29.78,0.0439296,27.3859,-4.19416,8.16923,9.98027,2.70842,0,25.3089,3.53598,12.0803,4.46435,4.01955,0.042383,3.7219,0.479311,1.80002e-14,0.00304087,0.00304087,114.022,0,-0.231047,0.578074,1.00071,1.00027,1.00071,0.999876,0.937899,1.00513,0.999781,-0.099728,1084.46,132
29.80,0.0439293,27.3854,-4.1932,8.16909,9.98006,2.7073,0,25.3089,3.53597,12.0786,4.46444,4.01968,0.042383,3.72203,0.479322,1.80006e-14,0.00303602,0.00303602,114.022,0,-0.231048,0.578067,1.00071,1.00027,1.00071,0.999876,0.937899,1.00513,0.999781,-0.0997278,1082.32,132
29.82,0.0439291,27.385,-4.19225,8.16893,9.97983,2.70618,0,25.3089,3.53597,12.0769,4.46453,4.01982,0.042383,3.72217,0.479333,1.80009e-14,0.00303117,0.00303117,114.022,0,-0.231049,0.57806,1.00071,1.00027,1.00071,0.999876,0.937899,1.00513,0.999781,-0.0997277,1080.36,132
29.84,0.0439288,27.3845,-4.1913,8.16875,9.97956,2.70508,0,25.3089,3.53596,12.0752,4.46463,4.01997,0.042383,3.72231,0.479344,1.80012e-14,0.00302631,0.00302631,114.022,0,-0.23105,0.578054,1.0007,1.00027,1.0007,0.999877,0.937899,1.00514,0.999782,-0.0997276,1078.57,132
29.86,0.0439285,27.3841,-4.19035,8.16855,9.97927,2.70399,0,25.3089,3.53595,12.0734,4.46474,4.02013,0.042383,3.72245,0.479356,1.80016e-14,0.00302144,0.00302144,114.022,0,-0.231051,0.578048,1.0007,1.00027,1.0007,0.999878,0.937899,1.00514,0.999782,-0.0997274,1076.93,132
29.88,0.0439283,27.3836,-4.18941,8.16833,9.97895,2.70291,0,25.3089,3.53595,12.0716,4.46486,4.02029,0.0423829,3.7226,0.479367,1.80019e-14,0.00301657,0.00301657,114.022,0,-0.231052,0.578043,1.0007,1.00027,1.0007,0.999879,0.937899,1.00514,0.999782,-0.0997273,1075.43,132
29.90,0.043928,27.3831,-4.18846,8.16809,9.97861,2.70184,0,25.3089,3.53594,12.0697,4.46498,4.02045,0.0423829,3.72274,0.479378,1.80023e-14,0.0030117,0.0030117,114.022,0,-0.231054,0.578038,1.0007,1.00027,1.0007,0.99988,0.937899,1.00514,0.999782,-0.0997272,1074.09,132
29.92,0.0439277,27.3827,-4.18752,8.16784,9.97824,2.70078,0,25.3089,3.53593,12.0679,4.4651,4.02063,0.0423829,3.7229,0.479389,1.80026e-14,0.00300683,0.00300683,114.022,0,-0.231055,0.578033,1.0007,1.00027,1.0007,0.999882,0.937899,1.00514,0.999782,-0.0997271,1072.87,132
29.94,0.0439275,27.3822,-4.18658,8.16758,9.97786,2.69973,0,25.3089,3.53593,12.066,4.46523,4.0208,0.0423829,3.72305,0.4794,1.8003e-14,0.00300195,0.00300195,114.022,0,-0.231056,0.578029,1.0007,1.00027,1.0007,0.999884,0.937899,1.00514,0.999782,-0.0997271,1071.79,132
29.96,0.0439272,27.3818,-4.18564,8.1673,9.97745,2.69869,0,25.3089,3.53592,12.0641,4.46536,4.02098,0.0423829,3.72321,0.479411,1.80033e-14,0.00299707,0.00299707,114.022,0,-0.231058,0.578025,1.0007,1.00027,1.0007,0.999886,0.937899,1.00514,0.999782,-0.099727,1070.83,132
29.98,0.0439269,27.3813,-4.18471,8.16702,9.97704,2.69766,0,25.3089,3.53591,12.0621,4.46549,4.02117,0.0423829,3.72337,0.479423,1.80036e-14,0.00299218,0.00299218,114.022,0,-0.231059,0.578022,1.0007,1.00027,1.0007,0.999889,0.937899,1.00514,0.999782,-0.0997269,1071.18,132
30.00,0.0439267,27.3809,-4.18377,8.16673,9.97662,2.69665,0,25.3089,3.53591,12.0602,4.46563,4.02135,0.0423828,3.72353,0.479434,1.8004e-14,0.0029873,0.0029873,114.022,0,-0.231061,0.578019,1.0007,1.00027,1.0007,0.999891,0.937899,1.00514,0.999782,-0.0997269,1072.23,132
30.02,0.0439264,27.3805,-4.18284,8.16645,9.97621,2.69564,0,25.3089,3.5359,12.0582,4.46576,4.02154,0.0423828,3.7237,0.479445,1.80043e-14,0.00298241,0.00298241,114.022,0,-0.231063,0.578016,1.0007,1.00027,1.0007,0.999895,0.937662,1.00514,0.999782,-0.0997268,1073.65,132
30.04,0.0439262,27.3831,-4.18191,8.16618,9.97582,2.69464,0,25.3123,3.53589,12.0562,4.46538,4.02124,0.0423829,3.72444,0.479456,1.80047e-14,0.0029775,0.0029775,114.022,0,-0.231064,0.578015,1.0007,1.00027,1.0007,0.999898,0.937662,1.00514,0.999782,-0.0997268,1075.26,132
30.06,0.0439259,27.3826,-4.18098,8.16593,9.97545,2.69365,0,25.3123,3.53589,12.0541,4.4655,4.02142,0.0423829,3.72461,0.479467,1.8005e-14,0.00297225,0.00297225,114.022,0,-0.231066,0.578014,1.0007,1.00027,1.0007,0.999902,0.937662,1.00514,0.999783,-0.0997267,1076.99,132
30.08,0.0439257,27.3822,-4.18006,8.16569,9.9751,2.69268,0,25.3123,3.53588,12.052,4.46562,4.0216,0.0423829,3.72478,0.479478,1.80053e-14,0.00296649,0.00296649,114.022,0,-0.231067,0.578014,1.0007,1.00027,1.0007,0.999905,0.937662,1.00514,0.999783,-0.0997267,1078.79,132
30.10,0.0439255,27.3817,-4.17913,8.16546,9.97477,2.69171,0,25.3123,3.53587,12.05,4.46574,4.02178,0.042383,3.72495,0.479489,1.80056e-14,0.00296016,0.00296016,114.022,0,-0.231069,0.578014,1.0007,1.00027,1.0007,0.999909,0.937662,1.00514,0.999783,-0.0997266,1080.64,132
30.12,0.0439252,27.3813,-4.17821,8.16525,9.97446,2.69075,0,25.3123,3.53586,12.0479,4.46585,4.02195,0.042383,3.72513,0.4795,1.8006e-14,0.0029533,0.0029533,114.022,0,-0.231071,0.578014,1.0007,1.00027,1.0007,0.999912,0.937662,1.00514,0.999783,-0.0997266,1082.53,132
30.14,0.043925,27.3808,-4.17729,8.16505,9.97417,2.6898,0,25.3123,3.53586,12.0457,4.46596,4.02212,0.042383,3.72531,0.479511,1.80063e-14,0.00294598,0.00294598,114.022,0,-0.231073,0.578015,1.0007,1.00027,1.0007,0.999914,0.937662,1.00514,0.999783,-0.0997266,1084.45,132
30.16,0.0439247,27.3804,-4.17637,8.16487,9.97391,2.68886,0,25.3123,3.53585,12.0436,4.46606,4.02228,0.042383,3.72549,0.479521,1.80065e-14,0.00293827,0.00293827,114.022,0,-0.231075,0.578016,1.0007,1.00027,1.0007,0.999916,0.937662,1.00514,0.999783,-0.0997266,1086.39,132
30.18,0.0439245,27.3799,-4.17545,8.16471,9.97367,2.68793,0,25.3123,3.53584,12.0414,4.46615,4.02245,0.0423831,3.72567,0.479532,1.80068e-14,0.00293024,0.00293024,114.022,0,-0.231077,0.578017,1.0007,1.00027,1.0007,0.999917,0.937662,1.00514,0.999783,-0.0997266,1088.35,132
30.20,0.0439243,27.3795,-4.17453,8.16456,9.97345,2.68701,0,25.3123,3.53584,12.0392,4.46624,4.02261,0.0423831,3.72586,0.479543,1.80071e-14,0.00292194,0.00292194,114.022,0,-0.231079,0.578019,1.00071,1.00027,1.00071,0.999918,0.937662,1.00514,0.999783,-0.0997266,1090.31,132
30.22,0.043924,27.3791,-4.17362,8.16442,9.97325,2.6861,0,25.3123,3.53583,12.037,4.46633,4.02276,0.0423831,3.72605,0.479554,1.80074e-14,0.00291344,0.00291344,114.022,0,-0.231081,0.578021,1.00071,1.00027,1.00071,0.999918,0.937662,1.00514,0.999783,-0.0997266,1092.28,132
30.24,0.0439238,27.3786,-4.17271,8.16431,9.97308,2.6852,0,25.3123,3.53582,12.0348,4.46641,4.02291,0.0423832,3.72623,0.479564,1.80077e-14,0.00290476,0.00290476,114.022,0,-0.231083,0.578024,1.00071,1.00027,1.00071,0.999917,0.937662,1.00514,0.999783,-0.0997266,1094.26,132
30.26,0.0439235,27.3782,-4.1718,8.1642,9.97293,2.6843,0,25.3123,3.53581,12.0326,4.46648,4.02306,0.0423832,3.72643,0.479575,1.80079e-14,0.00289595,0.00289595,114.022,0,-0.231085,0.578026,1.00071,1.00027,1.00071,0.999916,0.937662,1.00514,0.999783,-0.0997266,1096.24,132
30.28,0.0439233,27.3777,-4.17089,8.16412,9.97281,2.68342,0,25.3123,3.53581,12.0303,4.46655,4.02321,0.0423832,3.72662,0.479585,1.80082e-14,0.00288701,0.00288701,114.022,0,-0.231087,0.57803,1.00071,1.00027,1.00071,0.999915,0.937662,1.00514,0.999783,-0.0997267,1098.22,132
30.30,0.043923,27.3773,-4.16998,8.16404,9.9727,2.68254,0,25.3123,3.5358,12.028,4.46661,4.02335,0.0423832,3.72681,0.479596,1.80085e-14,0.00287799,0.00287799,114.022,0,-0.231089,0.578033,1.00071,1.00027,1.00071,0.999913,0.937662,1.00514,0.999783,-0.0997267,1100.2,132
30.32,0.0439228,27.3769,-4.16908,8.16399,9.97262,2.68168,0,25.3123,3.53579,12.0258,4.46667,4.02349,0.0423833,3.72701,0.479606,1.80087e-14,0.00286889,0.00286889,114.022,0,-0.231091,0.578037,1.00071,1.00028,1.00071,0.999911,0.937662,1.00514,0.999782,-0.0997268,1102.18,132
30.34,0.0439225,27.3764,-4.16817,8.16395,9.97256,2.68082,0,25.3123,3.53578,12.0234,4.46673,4.02362,0.0423833,3.72721,0.479617,1.8009e-14,0.00285974,0.00285974,114.022,0,-0.231094,0.578041,1.00072,1.00028,1.00072,0.999909,0.937662,1.00514,0.999782,-0.0997268,1104.16,132
30.36,0.0439222,27.376,-4.16727,8.16392,9.97253,2.67997,0,25.3123,3.53578,12.0211,4.46678,4.02376,0.0423833,3.72741,0.479627,1.80093e-14,0.00285059,0.00285059,114.022,0,-0.231096,0.578046,1.00072,1.00028,1.00072,0.999906,0.937662,1.00514,0.999782,-0.0997269,1106.12,132
30.38,0.043922,27.3756,-4.16637,8.16391,9.97251,2.67913,0,25.3123,3.53577,12.0188,4.46682,4.02388,0.0423833,3.72761,0.479638,1.80095e-14,0.00284146,0.00284146,114.022,0,-0.231098,0.578051,1.00072,1.00028,1.00072,0.999904,0.937662,1.00515,0.999782,-0.099727,1108.08,132
30.40,0.0439217,27.3751,-4.16548,8.16392,9.97252,2.67829,0,25.3123,3.53576,12.0165,4.46686,4.02401,0.0423834,3.72781,0.479648,1.80098e-14,0.00283234,0.00283234,114.022,0,-0.2311,0.578056,1.00072,1.00028,1.00072,0.999901,0.937662,1.00515,0.999782,-0.099727,1110.04,132
30.42,0.0439215,27.3748,-4.16475,8.16394,9.97255,2.67749,0,25.3123,3.53575,12.0141,4.46688,4.02412,0.0423834,3.72802,0.479659,1.80101e-14,0.00282324,0.00282324,114.022,0,-0.231103,0.578062,1.00072,1.00028,1.00072,0.999899,0.937662,1.00515,0.999782,-0.0997271,1110.99,132
30.44,0.0439212,27.3745,-4.16419,8.16397,9.97259,2.67672,0,25.3122,3.53575,12.0117,4.4669,4.02423,0.0423834,3.72824,0.479669,1.80103e-14,0.00281415,0.00281415,114.022,0,-0.231105,0.578068,1.00073,1.00028,1.00073,0.999896,0.937662,1.00515,0.999782,-0.0997272,1109.7,132
30.46,0.043921,27.3744,-4.16379,8.16399,9.97262,2.67601,0,25.3122,3.53574,12.0094,4.46691,4.02434,0.0423834,3.72847,0.47968,1.80106e-14,0.00280506,0.00280506,114.022,0,-0.231107,0.578075,1.00073,1.00028,1.00073,0.999894,0.937662,1.00515,0.999782,-0.0997273,1107.19,132
30.48,0.0439207,27.3743,-4.16352,8.16398,9.9726,2.67536,0,25.3122,3.53573,12.007,4.46692,4.02445,0.0423834,3.7287,0.47969,1.80108e-14,0.00279599,0.00279599,114.022,0,-0.231109,0.578082,1.00073,1.00028,1.00073,0.999892,0.937662,1.00515,0.999782,-0.0997274,1104.15,132
30.50,0.0439205,27.3742,-4.16338,8.16394,9.97255,2.67479,0,25.3122,3.53572,12.0046,4.46694,4.02457,0.0423835,3.72894,0.479701,1.80111e-14,0.00278693,0.00278693,114.022,0,-0.231112,0.578089,1.00073,1.00028,1.00073,0.99989,0.937662,1.00515,0.999782,-0.0997275,1100.96,132
30.52,0.0439202,27.3743,-4.16337,8.16387,9.97245,2.6743,0,25.3122,3.53572,12.0022,4.46695,4.02469,0.0423835,3.72919,0.479711,1.80114e-14,0.00277787,0.00277787,114.022,0,-0.231114,0.578097,1.00074,1.00028,1.00074,0.999888,0.937662,1.00515,0.999782,-0.0997276,1097.8,132
30.54,0.04392,27.3743,-4.16347,8.16377,9.97231,2.67389,0,25.3122,3.53571,11.9999,4.46698,4.02481,0.0423835,3.72944,0.479722,1.80116e-14,0.00276881,0.00276881,114.022,0,-0.231116,0.578105,1.00074,1.00028,1.00074,0.999886,0.937662,1.00515,0.999781,-0.0997277,1094.77,132
30.56,0.0439198,27.3745,-4.16369,8.16365,9.97213,2.67358,0,25.3122,3.5357,11.9975,4.467,4.02493,0.0423835,3.7297,0.479732,1.80119e-14,0.00275976,0.00275976,114.022,0,-0.231118,0.578113,1.00074,1.00029,1.00074,0.999885,0.937662,1.00515,0.999781,-0.0997278,1091.9,132
30.58,0.0439195,27.3747,-4.16401,8.1635,9.97191,2.67336,0,25.3122,3.53569,11.9952,4.46703,4.02506,0.0423835,3.72996,0.479742,1.80121e-14,0.00275072,0.00275072,114.022,0,-0.23112,0.578122,1.00075,1.00029,1.00075,0.999884,0.937662,1.00515,0.999781,-0.0997279,1089.22,132
30.60,0.0439193,27.375,-4.16443,8.16333,9.97166,2.67323,0,25.3122,3.53569,11.9928,4.46706,4.02519,0.0423836,3.73022,0.479753,1.80124e-14,0.00274167,0.00274167,114.022,0,-0.231123,0.578132,1.00075,1.00029,1.00075,0.999883,0.937662,1.00515,0.999781,-0.0997281,1086.73,132
30.62,0.0439191,27.3753,-4.16495,8.16314,9.97138,2.67321,0,25.3122,3.53568,11.9905,4.46709,4.02532,0.0423836,3.73048,0.479763,1.80127e-14,0.00273263,0.00273263,114.022,0,-0.231125,0.578142,1.00075,1.00029,1.00075,0.999883,0.937662,1.00515,0.999781,-0.0997282,1084.42,132
30.64,0.0439189,27.3756,-4.16556,8.16293,9.97107,2.67328,0,25.3122,3.53567,11.9882,4.46712,4.02546,0.0423836,3.73074,0.479774,1.80129e-14,0.00272359,0.00272359,114.022,0,-0.231127,0.578152,1.00075,1.00029,1.00075,0.999883,0.937662,1.00515,0.999781,-0.0997284,1082.29,132
30.66,0.0439187,27.376,-4.16626,8.1627,9.97074,2.67346,0,25.3122,3.53566,11.986,4.46716,4.02559,0.0423836,3.73101,0.479784,1.80132e-14,0.00271455,0.00271455,114.022,0,-0.231129,0.578162,1.00076,1.00029,1.00076,0.999883,0.937662,1.00515,0.999781,-0.0997285,1080.33,132
30.68,0.0439186,27.3764,-4.16705,8.16246,9.97039,2.67374,0,25.3122,3.53566,11.9838,4.46719,4.02572,0.0423836,3.73128,0.479794,1.80134e-14,0.00270551,0.00270551,114.022,0,-0.231131,0.578173,1.00076,1.00029,1.00076,0.999883,0.937662,1.00515,0.99978,-0.0997287,1078.53,132
30.70,0.0439184,27.3769,-4.16792,8.1622,9.97002,2.67413,0,25.3122,3.53565,11.9816,4.46723,4.02586,0.0423836,3.73154,0.479805,1.80137e-14,0.00269646,0.00269646,114.022,0,-0.231134,0.578185,1.00077,1.00029,1.00076,0.999884,0.937662,1.00515,0.99978,-0.0997288,1076.9,132
30.72,0.0439182,27.3774,-4.16887,8.16194,9.96963,2.67461,0,25.3122,3.53564,11.9795,4.46726,4.02599,0.0423837,3.73181,0.479815,1.8014e-14,0.00268742,0.00268742,114.022,0,-0.231136,0.578197,1.00077,1.0003,1.00077,0.999885,0.937662,1.00515,0.99978,-0.099729,1075.41,132
30.74,0.0439181,27.378,-4.1699,8.16166,9.96922,2.6752,0,25.3122,3.53563,11.9774,4.4673,4.02612,0.0423837,3.73207,0.479826,1.80142e-14,0.00267838,0.00267838,114.022,0,-0.231138,0.578209,1.00077,1.0003,1.00077,0.999886,0.937662,1.00516,0.99978,-0.0997292,1074.06,132
30.76,0.043918,27.3786,-4.171,8.16138,9.96881,2.67588,0,25.3122,3.53563,11.9753,4.46733,4.02624,0.0423837,3.73233,0.479836,1.80145e-14,0.00266934,0.00266934,114.022,0,-0.23114,0.578222,1.00078,1.0003,1.00078,0.999888,0.937662,1.00516,0.99978,-0.0997294,1072.85,132
30.78,0.0439179,27.3792,-4.17218,8.16109,9.96839,2.67667,0,25.3122,3.53562,11.9734,4.46736,4.02637,0.0423837,3.73259,0.479846,1.80147e-14,0.00266031,0.00266031,114.022,0,-0.231143,0.578235,1.00078,1.0003,1.00078,0.99989,0.937662,1.00516,0.999779,-0.0997295,1071.76,132
30.80,0.0439178,27.3799,-4.17343,8.16079,9.96796,2.67755,0,25.3122,3.53561,11.9714,4.46739,4.02649,0.0423837,3.73284,0.479857,1.8015e-14,0.00265127,0.00265127,114.022,0,-0.231145,0.578248,1.00078,1.0003,1.00078,0.999892,0.937662,1.00516,0.999779,-0.0997297,1070.8,132
30.82,0.0439177,27.3806,-4.17475,8.16049,9.96752,2.67853,0,25.3122,3.53561,11.9696,4.46742,4.0266,0.0423837,3.7331,0.479867,1.80153e-14,0.00264223,0.00264223,114.022,0,-0.231147,0.578262,1.00079,1.0003,1.00079,0.999895,0.937662,1.00516,0.999779,-0.0997299,1071.16,132
30.84,0.0439176,27.3813,-4.17614,8.1602,9.9671,2.67961,0,25.3122,3.5356,11.9678,4.46744,4.02671,0.0423837,3.73335,0.479877,1.80155e-14,0.0026332,0.0026332,114.022,0,-0.231149,0.578276,1.00079,1.00031,1.00079,0.999898,0.937662,1.00516,0.999779,-0.0997301,1072.21,132
30.86,0.0439175,27.3821,-4.17759,8.15993,9.9667,2.68078,0,25.3122,3.53559,11.9661,4.46746,4.02681,0.0423838,3.73359,0.479888,1.80158e-14,0.00262417,0.00262417,114.022,0,-0.231152,0.57829,1.0008,1.00031,1.0008,0.999901,0.937345,1.00516,0.999778,-0.0997304,1073.62,132
30.88,0.0439175,27.3836,-4.1791,8.15967,9.96632,2.68204,0,25.3129,3.53558,11.9644,4.46735,4.0268,0.0423838,3.73396,0.479898,1.8016e-14,0.00261514,0.00261514,114.022,0,-0.231154,0.578305,1.0008,1.00031,1.0008,0.999904,0.937345,1.00516,0.999778,-0.0997306,1075.23,132
30.90,0.0439174,27.3844,-4.18069,8.15944,9.96598,2.68339,0,25.3129,3.53558,11.9628,4.46734,4.02687,0.0423838,3.73419,0.479908,1.80163e-14,0.00260605,0.00260605,114.022,0,-0.231156,0.57832,1.00081,1.00031,1.0008,0.999908,0.937345,1.00516,0.999778,-0.0997308,1076.96,132
30.92,0.0439174,27.3853,-4.18233,8.15922,9.96567,2.68483,0,25.3129,3.53557,11.9613,4.46733,4.02694,0.0423838,3.73442,0.479919,1.80166e-14,0.0025969,0.0025969,114.022,0,-0.231158,0.578335,1.00081,1.00031,1.00081,0.999912,0.937345,1.00516,0.999778,-0.099731,1078.77,132
30.94,0.0439174,27.3862,-4.18403,8.15904,9.9654,2.68636,0,25.3129,3.53556,11.9599,4.4673,4.027,0.0423839,3.73464,0.479929,1.80168e-14,0.00258765,0.00258765,114.022,0,-0.23116,0.578351,1.00081,1.00031,1.00081,0.999915,0.937345,1.00516,0.999778,-0.0997312,1080.62,132
30.96,0.0439174,27.3871,-4.18579,8.15887,9.96516,2.68797,0,25.3129,3.53555,11.9586,4.46727,4.02705,0.0423839,3.73486,0.479939,1.80171e-14,0.00257834,0.00257834,114.022,0,-0.231162,0.578367,1.00082,1.00032,1.00082,0.999918,0.937345,1.00516,0.999777,-0.0997314,1082.51,132
30.98,0.0439175,27.388,-4.18761,8.15873,9.96495,2.68967,0,25.3129,3.53555,11.9574,4.46722,4.02708,0.0423839,3.73507,0.47995,1.80173e-14,0.00256895,0.00256895,114.022,0,-0.231164,0.578383,1.00082,1.00032,1.00082,0.99992,0.937345,1.00516,0.999777,-0.0997316,1084.43,132
31.00,0.0439175,27.389,-4.18948,8.15861,9.96478,2.69144,0,25.3129,3.53554,11.9562,4.46716,4.0271,0.0423839,3.73527,0.47996,1.80176e-14,0.00255952,0.00255952,114.022,0,-0.231166,0.5784,1.00083,1.00032,1.00083,0.999922,0.937345,1.00516,0.999777,-0.0997319,1086.37,132
