Time(s),BloodDensity(kg/m^3),BloodPH,BloodSpecificHeat(J/K_kg),BloodUreaNitrogenConcentration(mg/dL),CarbonDioxideSaturation,CarbonMonoxideSaturation,Hematocrit,HemoglobinContent(g),OxygenSaturation,PlasmaVolume(mL),Phosphate(mmol/L),PulseOximetry,RedBloodCellCount(ct/uL),ShuntFraction,StrongIonDifference(mmol/L),TotalProteinConcentration(g/dL),VolumeFractionNeutralLipidInPlasma,VolumeFractionNeutralPhospholipidInPlasma,WhiteBloodCellCount(ct/uL),ArterialCarbonDioxidePressure(mmHg),ArterialOxygenPressure(mmHg),PulmonaryArterialCarbonDioxidePressure(mmHg),PulmonaryArterialOxygenPressure(mmHg),PulmonaryVenousCarbonDioxidePressure(mmHg),PulmonaryVenousOxygenPressure(mmHg),VenousCarbonDioxidePressure(mmHg),VenousOxygenPressure(mmHg),Albumin-BloodConcentration(g/dL),Bicarbonate-BloodConcentration(g/dL),Calcium-BloodConcentration(mg/L),Chloride-BloodConcentration(g/L),Creatinine-BloodConcentration(mg/L),Epinephrine-BloodConcentration(ug/L),Globulin-BloodConcentration(g/dL),Glucagon-BloodConcentration(mg/dL),Glucose-BloodConcentration(mg/dL),Hemoglobin-BloodConcentration(g/dL),Insulin-BloodConcentration(ug/L),Ketones-BloodConcentration(mg/L),Lactate-BloodConcentration(mg/L),Potassium-BloodConcentration(mg/L),Sodium-BloodConcentration(g/dL),Triacylglycerol-BloodConcentration(mg/dL),Urea-BloodConcentration(mg/dL)
0.02,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275614,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.081,131.865,176.96,0.334,74,26.40
0.04,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275550,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.081,131.865,176.96,0.334,74,26.40
0.06,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275479,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.08,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275402,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.10,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275318,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.12,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275238,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.865,176.96,0.334,74,26.40
0.14,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275169,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.864,176.96,0.334,74,26.40
0.16,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275115,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.864,176.96,0.334,74,26.40
0.18,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275079,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.082,131.864,176.96,0.334,74,26.40
0.20,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275059,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.864,176.96,0.334,74,26.40
0.22,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2910,1.1,0.98,5275054,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.863,176.96,0.334,74,26.40
0.24,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275063,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.863,176.96,0.334,74,26.40
0.26,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275084,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.862,176.96,0.334,74,26.40
0.28,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275115,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.862,176.96,0.334,74,26.40
0.30,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275153,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.862,176.96,0.334,74,26.40
0.32,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275199,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.861,176.96,0.334,74,26.40
0.34,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275250,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.083,131.861,176.96,0.334,74,26.40
0.36,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275306,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.084,131.860,176.96,0.334,74,26.40
0.38,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275365,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.084,131.860,176.96,0.334,74,26.40
0.40,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275425,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.084,131.859,176.96,0.334,74,26.40
0.42,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275485,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.084,131.859,176.96,0.334,74,26.40
0.44,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275541,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.084,131.859,176.96,0.334,74,26.40
0.46,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275595,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.084,131.858,176.96,0.334,74,26.40
0.48,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275646,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.084,131.858,176.96,0.334,74,26.40
0.50,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275692,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.084,131.857,176.96,0.334,74,26.40
0.52,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275735,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.857,176.96,0.334,74,26.40
0.54,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275773,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.857,176.96,0.334,74,26.40
0.56,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275807,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.856,176.96,0.334,74,26.40
0.58,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275835,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.856,176.96,0.334,74,26.40
0.60,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275858,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.855,176.96,0.334,74,26.40
0.62,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275876,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.855,176.96,0.334,74,26.40
0.64,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275888,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.855,176.96,0.334,74,26.40
0.66,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275894,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.855,176.96,0.334,74,26.40
0.68,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275894,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.085,131.854,176.96,0.334,74,26.40
0.70,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275888,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.086,131.854,176.96,0.334,74,26.40
0.72,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275876,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.4,15.30,0.694,11.086,131.854,176.96,0.334,74,26.40
0.74,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275858,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.086,131.853,176.96,0.334,74,26.40
0.76,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275833,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.086,131.853,176.96,0.334,74,26.40
0.78,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275802,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.086,131.853,176.96,0.334,74,26.40
0.80,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275764,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.086,131.853,176.96,0.334,74,26.40
0.82,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275720,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.086,131.852,176.96,0.334,74,26.40
0.84,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275670,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.086,131.852,176.96,0.334,74,26.40
0.86,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275612,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.852,176.96,0.334,74,26.40
0.88,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275548,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.852,176.96,0.334,74,26.40
0.90,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275478,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.852,176.96,0.334,74,26.40
0.92,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275400,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.851,176.96,0.334,74,26.40
0.94,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275317,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.851,176.96,0.334,74,26.40
0.96,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275236,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.851,176.96,0.334,74,26.40
0.98,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275167,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.4,15.30,0.694,11.087,131.851,176.96,0.334,74,26.40
1.00,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275114,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.087,131.851,176.96,0.334,74,26.40
1.02,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275077,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.850,176.96,0.334,74,26.40
1.04,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275057,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.850,176.96,0.334,74,26.40
1.06,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2910,1.1,0.98,5275053,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.850,176.96,0.334,74,26.40
1.08,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275062,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.849,176.96,0.334,74,26.40
1.10,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275082,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.849,176.96,0.334,74,26.40
1.12,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275113,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.849,176.96,0.334,74,26.40
1.14,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275152,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.848,176.96,0.334,74,26.40
1.16,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275197,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.088,131.848,176.96,0.334,74,26.40
1.18,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275248,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.847,176.96,0.334,74,26.40
1.20,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275304,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.847,176.96,0.334,74,26.40
1.22,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275363,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.846,176.96,0.334,74,26.40
1.24,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275424,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.846,176.96,0.334,74,26.40
1.26,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275483,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.846,176.96,0.334,74,26.40
1.28,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275540,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.845,176.96,0.334,74,26.40
1.30,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275594,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.845,176.96,0.334,74,26.40
1.32,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275644,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.089,131.844,176.96,0.334,74,26.40
1.34,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275691,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.844,176.96,0.334,74,26.40
1.36,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275733,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.844,176.96,0.334,74,26.40
1.38,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275772,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.843,176.96,0.334,74,26.40
1.40,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275805,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.843,176.96,0.334,74,26.40
1.42,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275834,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.842,176.96,0.334,74,26.40
1.44,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275857,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.842,176.96,0.334,74,26.40
1.46,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275874,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.842,176.96,0.334,74,26.40
1.48,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275886,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.841,176.96,0.334,74,26.40
1.50,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275893,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.090,131.841,176.96,0.334,74,26.40
1.52,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275893,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.091,131.841,176.96,0.334,74,26.40
1.54,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275887,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.091,131.840,176.96,0.334,74,26.40
1.56,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275875,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0323,2.7,0.000,87.3,15.30,0.694,11.091,131.840,176.96,0.334,74,26.40
1.58,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275857,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,40,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.091,131.840,176.96,0.334,74,26.40
1.60,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275832,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,41,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.091,131.840,176.96,0.334,74,26.40
1.62,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275801,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,41,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.091,131.839,176.96,0.334,74,26.40
1.64,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275763,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,41,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.091,131.839,176.96,0.334,74,26.40
1.66,1050,7.41,3617,12.3,0.03,0,0.475,847.4,0.98,2909,1.1,0.98,5275719,0.024,40.5,7,0.00230,0.00130,7000,40,99,44,44,41,99,44,44,4.5,0.159,48.17,3.6170,11.1,0.0322,2.7,0.000,87.3,15.30,0.694,11.091,131.839,176.96,0.334,74,26.40
