Time(s),ArterialPressure(mmHg),BloodVolume(mL),CardiacIndex(L/min_m^2),CardiacOutput(mL/min),CentralVenousPressure(mmHg),CerebralBloodFlow(mL/min),CerebralPerfusionPressure(mmHg),DiastolicArterialPressure(mmHg),HeartEjectionFraction,HeartRate(1/min),HeartStrokeVolume(mL),IntracranialPressure(mmHg),MeanArterialPressure(mmHg),MeanArterialCarbonDioxidePartialPressure(mmHg),MeanArterialCarbonDioxidePartialPressureDelta(mmHg),MeanCentralVenousPressure(mmHg),MeanSkinFlow(mL/min),PulmonaryArterialPressure(mmHg),PulmonaryCapillariesWedgePressure(mmHg),PulmonaryDiastolicArterialPressure(mmHg),PulmonaryMeanArterialPressure(mmHg),PulmonaryMeanCapillaryFlow(mL/min),PulmonaryMeanShuntFlow(mL/min),PulmonarySystolicArterialPressure(mmHg),PulmonaryVascularResistance(mmHg_s/mL),PulmonaryVascularResistanceIndex(mmHg_s/mL_m^2),PulsePressure(mmHg),SystemicVascularResistance(mmHg_s/mL),SystolicArterialPressure(mmHg),BrainVasculature-Oxygen-PartialPressure(mmHg),Aorta-Volume(mL),Aorta-InFlow(mL/min),BrainVasculature-Volume(mL),BrainVasculature-InFlow(mL/min),BoneVasculature-Volume(mL),BoneVasculature-InFlow(mL/min),FatVasculature-Volume(mL),FatVasculature-InFlow(mL/min),KidneyVasculature-Volume(mL),KidneyVasculature-InFlow(mL/min),LargeIntestineVasculature-Volume(mL),LargeIntestineVasculature-InFlow(mL/min),LeftArmVasculature-Volume(mL),LeftHeart-Volume(mL),LeftHeart-InFlow(mL/min),LeftHeart-Pressure(mmHg),LeftKidneyVasculature-Volume(mL),LeftKidneyVasculature-InFlow(mL/min),LeftLegVasculature-Volume(mL),LeftPulmonaryArteries-Volume(mL),LeftPulmonaryArteries-InFlow(mL/min),LeftPulmonaryCapillaries-Volume(mL),LeftPulmonaryCapillaries-InFlow(mL/min),LeftPulmonaryVeins-Volume(mL),LeftPulmonaryVeins-InFlow(mL/min),LiverVasculature-Volume(mL),LiverVasculature-InFlow(mL/min),MuscleVasculature-Volume(mL),MuscleVasculature-InFlow(mL/min),MyocardiumVasculature-Volume(mL),MyocardiumVasculature-InFlow(mL/min),PulmonaryArteries-Volume(mL),PulmonaryArteries-InFlow(mL/min),PulmonaryArteries-Pressure(mmHg),PulmonaryCapillaries-Volume(mL),PulmonaryCapillaries-InFlow(mL/min),PulmonaryCapillaries-Pressure(mmHg),PulmonaryVeins-Volume(mL),PulmonaryVeins-InFlow(mL/min),PulmonaryVeins-Pressure(mmHg),RightArmVasculature-Volume(mL),RightHeart-Volume(mL),RightHeart-InFlow(mL/min),RightHeart-Pressure(mmHg),RightKidneyVasculature-Volume(mL),RightKidneyVasculature-InFlow(mL/min),RightLegVasculature-Volume(mL),RightPulmonaryArteries-Volume(mL),RightPulmonaryArteries-InFlow(mL/min),RightPulmonaryCapillaries-Volume(mL),RightPulmonaryCapillaries-InFlow(mL/min),RightPulmonaryVeins-Volume(mL),RightPulmonaryVeins-InFlow(mL/min),SkinVasculature-Volume(mL),SkinVasculature-InFlow(mL/min),SmallIntestineVasculature-Volume(mL),SmallIntestineVasculature-InFlow(mL/min),SplanchnicVasculature-Volume(mL),SplanchnicVasculature-InFlow(mL/min),SpleenVasculature-Volume(mL),SpleenVasculature-InFlow(mL/min),VenaCava-Volume(mL),VenaCava-InFlow(mL/min)
0.02,77.58,5539,2.8,5559,4.264,543.5,85.86,73.16,0.55399,73.17,75.979,8.94,94.80,40,0.008,4.3,357,15,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.22,290,0,67,543,391,197,280,203,79,1042,110,150,56,136.796680,1062,6.027277,40,521,84,80.5,0,59.1,2047,176.5,2642,586,1324,782,676,39,155,160,48,15,117,4284,8.8,347,5486,6.0,56,129,8352,3,40,521,84,79.3,48,57.4,2237,170.2,2844,175,287,219,387,67,97,81,113,1203,5287
0.04,76.44,5539,2.8,5559,4.262,535.1,85.86,73.16,0.55399,73.17,75.979,8.93,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.21,289,0,67,535,391,194,280,201,79,1029,110,147,56,137.146705,1050,6.044266,40,515,84,79.8,0,58.9,2012,177.2,2605,586,1317,782,665,39,152,158,46,14,116,4213,8.8,348,5412,6.0,56,132,7969,3,40,515,84,78.6,46,57.3,2201,171.0,2806,175,282,219,378,67,95,81,110,1202,5275
0.06,75.32,5539,2.8,5559,4.267,526.9,85.87,73.16,0.55399,73.17,75.979,8.93,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.20,287,0,67,527,391,190,280,198,79,1017,109,143,56,137.146705,34,23.436028,40,509,84,79.1,0,58.7,1978,178.0,2566,586,1310,782,655,39,149,157,43,14,116,4143,8.8,350,5364,6.1,56,132,43,6,40,509,84,77.8,43,57.1,2165,171.9,2798,175,278,219,370,67,92,81,107,1204,5260
0.08,74.23,5539,2.8,5559,4.272,519.0,85.88,73.16,0.55399,73.17,75.979,8.92,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.19,286,0,67,519,391,187,280,196,79,1005,109,139,56,137.146705,33,47.330895,40,502,84,78.4,0,58.5,1945,178.9,2527,586,1303,782,646,39,145,156,41,14,115,4075,8.8,352,5283,6.1,56,132,41,11,40,502,84,77.1,41,56.9,2130,172.8,2756,175,273,219,362,67,90,81,105,1206,5246
0.10,73.16,5539,2.8,5559,4.276,511.3,85.88,73.16,0.55399,73.17,75.979,8.91,94.80,40,0.008,4.3,357,14,6.154264,14,16,5292,134,18,9.135,4.641,41,0.977,113.76,34.17,285,0,67,511,391,183,280,194,79,993,109,135,56,137.146705,33,72.685704,40,497,84,78.1,1123,58.4,1935,179.7,2490,586,1296,782,637,39,142,155,2328,14,115,4052,8.8,353,5206,6.1,56,131,0,16,40,497,84,76.8,1205,56.7,2118,173.7,2716,175,269,219,354,67,87,81,102,1207,5232
0.12,76.07,5539,2.8,5559,4.281,534.9,85.89,73.16,0.55399,73.17,75.978,8.91,94.79,40,0.008,4.3,357,14,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.16,288,13896,67,535,391,197,280,208,79,1079,109,145,56,132.514593,32,94.179432,40,539,84,78.9,4211,58.2,1984,180.5,2457,586,1312,782,683,39,153,156,8517,14,115,4150,8.7,355,5137,6.1,56,129,0,20,40,539,84,77.5,4306,56.6,2166,174.6,2680,175,281,219,377,67,94,81,109,1209,5241
0.14,81.26,5539,2.8,5559,4.286,576.4,85.89,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.15,294,22172,67,576,391,219,279,231,79,1169,109,163,56,125.124065,32,110.158134,40,585,84,80.4,6648,58.1,2079,181.3,2430,586,1341,782,761,39,171,159,13411,15,115,4338,8.7,357,5081,6.1,56,124,0,24,40,585,84,79.0,6763,56.5,2259,175.5,2651,175,303,219,417,67,105,81,123,1211,5273
0.16,87.32,5539,2.8,5559,4.291,624.5,85.90,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.14,301,25645,67,624,391,245,279,257,79,1250,109,184,56,116.575652,32,120.746073,40,625,84,82.4,8378,58.1,2203,182.1,2409,586,1375,782,849,39,191,163,16895,15,115,4586,8.7,358,5037,6.2,56,118,0,27,40,625,84,81.0,8518,56.4,2383,176.4,2628,175,328,219,465,67,118,81,138,1213,5321
0.18,93.29,5539,2.8,5559,4.296,671.6,85.90,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.14,308,25821,67,672,391,270,279,281,79,1315,109,204,56,107.968779,32,126.944621,40,658,84,84.7,9435,58.1,2344,182.9,2395,586,1409,782,934,39,212,168,19038,15,115,4868,8.7,360,5006,6.2,56,112,0,28,40,658,84,83.3,9603,56.4,2524,177.2,2611,175,353,219,511,67,132,81,153,1214,5373
0.20,98.63,5539,2.8,5559,4.301,713.6,85.89,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.13,314,24064,67,714,391,292,280,301,79,1395,109,225,56,99.947444,33,129.987289,40,697,84,87.2,9911,58.1,2489,183.6,2386,586,1440,782,1007,39,230,173,20017,16,115,5158,8.7,362,4987,6.2,56,105,0,30,40,697,84,85.8,10107,56.5,2669,178.1,2601,175,375,219,555,67,144,81,167,1216,5424
0.22,103.08,5539,2.8,5559,4.306,748.4,85.89,73.16,0.55399,73.17,75.978,8.90,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.14,319,21407,67,748,391,309,280,318,79,1470,109,242,56,92.811903,34,130.976799,40,735,84,89.6,9920,58.2,2629,184.4,2383,586,1465,782,1066,39,244,178,20063,16,115,5439,8.7,363,4980,6.2,56,99,0,30,40,735,84,88.2,10143,56.6,2810,179.0,2597,175,393,219,593,67,155,81,178,1218,5469
0.24,106.61,5539,2.8,5559,4.311,775.8,85.89,73.16,0.55399,73.17,75.978,8.91,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.14,323,18522,67,776,391,323,280,330,79,1526,109,256,56,86.637824,35,130.747156,40,763,84,91.9,9583,58.4,2758,185.2,2385,586,1486,782,1111,39,256,182,19413,16,115,5698,8.8,365,4982,6.2,56,92,0,30,40,763,84,90.5,9830,56.8,2940,179.8,2597,175,408,219,623,67,163,81,187,1220,5506
0.26,109.28,5539,2.8,5559,4.316,796.4,85.88,73.16,0.55399,73.17,75.978,8.92,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.15,326,15791,67,796,391,333,280,338,79,1567,109,266,56,81.374030,36,129.859416,40,784,84,93.9,9009,58.6,2872,186.0,2390,586,1502,782,1143,39,265,186,18285,17,116,5927,8.8,367,4992,6.3,56,86,0,29,40,784,84,92.5,9276,56.9,3055,180.7,2602,175,419,219,646,67,170,81,194,1222,5536
0.28,111.21,5539,2.8,5559,4.322,811.0,85.87,73.16,0.55399,73.17,75.978,8.92,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.16,328,13389,67,811,391,340,280,343,79,1595,109,273,56,76.910878,37,128.655636,40,797,84,95.6,8291,58.8,2967,186.8,2398,586,1513,782,1164,39,271,190,16867,17,116,6121,8.8,368,5008,6.3,56,81,0,29,40,797,84,94.3,8575,57.2,3153,181.6,2610,175,427,219,662,67,174,81,199,1223,5558
0.30,112.51,5539,2.8,5559,4.327,820.7,85.87,73.16,0.55399,73.17,75.978,8.93,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.17,330,11365,67,821,391,344,280,345,79,1612,109,278,56,73.122418,38,127.324314,40,806,84,97.1,7504,59.0,3045,187.6,2409,586,1521,782,1175,39,275,193,15304,17,116,6278,8.8,370,5029,6.3,56,75,0,28,40,806,84,95.8,7801,57.4,3233,182.5,2620,175,432,219,673,67,177,81,202,1225,5574
0.32,113.32,5539,2.8,5559,4.332,826.3,85.86,73.16,0.55399,73.17,75.978,8.94,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.18,331,9698,67,826,391,346,280,346,79,1620,110,281,56,69.889748,40,125.953701,40,810,84,98.3,6701,59.3,3105,188.4,2421,586,1526,783,1180,39,277,195,13708,18,117,6399,8.9,372,5052,6.3,56,71,0,27,40,810,84,97.0,7007,57.7,3294,183.3,2631,175,435,219,680,67,179,81,204,1227,5585
0.34,113.71,5539,2.8,5559,4.337,828.8,85.85,73.16,0.55399,73.17,75.978,8.94,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.19,331,8326,67,829,391,347,280,347,79,1622,110,283,56,67.114380,41,124.559707,40,811,84,99.2,5917,59.5,3147,189.2,2433,586,1529,783,1179,39,278,197,12145,18,117,6486,8.9,373,5077,6.3,56,67,0,26,40,811,84,98.0,6229,57.9,3339,184.2,2644,175,436,219,683,67,180,81,205,1229,5591
0.36,113.76,5539,2.8,5559,4.342,828.5,85.85,73.16,0.55399,73.17,75.978,8.95,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.20,331,7144,67,828,391,347,280,347,79,1619,110,283,56,64.733034,42,123.068119,40,809,84,99.8,5162,59.8,3174,190.0,2446,586,1530,783,1180,39,278,198,10640,18,118,6542,8.9,375,5102,6.4,56,63,0,25,40,809,84,98.6,5477,58.2,3368,185.1,2657,175,436,219,683,67,180,81,205,1231,5593
0.38,113.46,5539,2.8,5559,4.348,825.5,85.84,73.16,0.55399,73.17,75.978,8.96,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.22,331,5934,67,826,391,346,280,346,79,1608,110,281,56,62.754944,43,121.195566,40,804,84,100.2,4406,60.1,3185,190.8,2458,586,1529,783,1175,39,277,199,9127,18,119,6566,9.0,377,5127,6.4,56,60,0,24,40,804,84,99.1,4721,58.5,3381,186.0,2669,175,435,219,681,67,179,81,204,1233,5592
0.40,112.67,5539,2.8,5559,4.353,819.2,85.83,73.16,0.55399,73.17,75.978,8.96,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.23,330,4165,68,819,391,342,280,342,79,1586,110,278,56,61.366484,44,118.098497,40,793,84,100.3,3521,60.3,3179,191.6,2469,586,1525,783,1164,39,274,199,7353,18,119,6556,9.0,378,5150,6.4,56,58,0,23,40,793,84,99.2,3833,58.8,3377,186.9,2680,175,431,219,674,67,177,81,202,1235,5587
0.42,110.88,5539,2.8,5559,4.358,805.0,85.83,73.16,0.55399,73.17,75.978,8.97,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.24,328,587,68,805,391,335,280,335,79,1538,110,271,56,61.170738,45,111.644772,40,769,84,99.9,2188,60.6,3147,192.4,2478,586,1516,783,1138,39,268,199,4679,18,120,6495,9.0,380,5168,6.4,56,56,0,21,40,769,84,98.9,2491,59.0,3347,187.8,2690,175,424,219,659,67,173,81,198,1237,5575
0.44,108.96,5539,2.8,5559,4.363,789.8,85.82,73.16,0.55399,73.17,75.978,8.97,94.79,40,0.008,4.3,357,18,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.25,326,0,68,790,391,326,280,326,79,1499,110,263,56,61.170738,45,93.433416,40,749,84,98.8,0,60.8,3073,193.2,2483,586,1505,783,1110,39,261,197,193,18,120,6347,9.0,382,5178,6.4,56,56,94,18,40,749,84,97.8,193,59.2,3274,188.7,2695,175,416,220,642,67,168,81,193,1238,5558
0.46,107.09,5539,2.8,5559,4.368,775.0,85.82,73.16,0.55399,73.17,75.978,8.98,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.26,324,0,68,775,391,319,280,318,79,1463,110,256,56,61.170738,46,63.273617,40,731,84,97.8,0,61.0,3000,194.0,2486,586,1495,783,1083,39,255,195,136,17,120,6202,9.1,384,5183,6.5,56,56,136,12,40,731,84,96.8,136,59.5,3202,189.6,2697,175,408,220,626,67,163,81,188,1240,5540
0.48,105.27,5539,2.8,5559,4.373,760.6,85.81,73.16,0.55399,73.17,75.978,8.98,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.27,322,0,68,761,391,311,280,311,79,1427,110,249,56,61.170738,46,34.516967,40,714,84,96.7,0,61.2,2930,194.8,2485,586,1485,783,1057,39,248,192,129,17,121,6062,9.1,385,5182,6.5,56,56,129,7,40,714,84,95.8,129,59.6,3133,190.5,2696,175,400,220,611,67,159,81,183,1242,5522
0.50,103.48,5539,2.8,5559,4.375,746.4,85.81,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.28,319,0,68,746,391,303,280,303,79,1393,110,241,56,61.170738,46,16.940397,40,696,84,95.7,0,61.3,2862,195.6,2483,586,1475,783,1031,39,242,190,122,17,121,5927,9.1,387,5176,6.5,56,57,3427,4,40,696,84,94.8,122,59.8,3065,191.4,2693,175,393,220,596,67,155,81,179,1243,5505
0.52,101.74,5539,2.8,5559,4.370,732.6,85.81,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.28,317,0,68,733,391,296,280,296,79,1360,110,235,56,61.170738,46,8.591581,40,680,84,94.7,0,61.5,2797,196.5,2478,586,1466,783,1006,39,236,188,116,17,121,5796,9.1,389,5165,6.5,56,61,11248,2,40,680,84,93.8,116,59.9,3000,192.3,2688,175,386,220,581,67,150,81,174,1241,5491
0.54,100.03,5539,2.8,5559,4.362,719.2,85.80,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.29,316,0,68,719,391,289,280,288,79,1327,110,228,56,74.303268,39398,6.385296,40,663,84,93.7,0,61.5,2735,191.1,2605,586,1456,783,981,39,231,187,110,17,122,5674,9.1,377,5388,6.4,56,66,14398,2,40,663,84,92.8,110,60.0,2939,186.3,2783,175,379,220,566,67,146,81,170,1238,5479
0.56,98.37,5539,2.8,5559,4.353,706.0,85.80,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,17,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.29,314,0,68,706,391,281,280,281,79,1295,110,221,56,97.246120,68829,6.139502,40,648,84,92.8,0,61.5,2679,181.1,2825,586,1447,783,957,39,225,185,104,17,121,5562,9.1,356,5852,6.1,56,71,15423,2,40,648,84,91.9,104,60.0,2883,175.3,3027,175,372,220,552,67,142,81,166,1235,5466
0.58,96.75,5539,2.8,5559,4.344,693.2,85.80,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.29,312,0,68,693,391,275,280,275,79,1264,110,215,56,113.454525,48625,5.974383,40,632,84,91.9,0,61.4,2627,174.4,2965,586,1438,783,934,39,219,183,99,16,121,5458,9.1,342,6148,6.0,56,76,15494,2,40,632,84,90.9,99,59.9,2831,167.9,3182,175,365,220,538,67,139,81,161,1231,5454
0.60,95.16,5538,2.8,5559,4.335,680.6,85.80,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.30,310,0,68,681,391,268,280,268,79,1234,110,210,56,122.841602,28161,5.889496,40,617,84,90.9,0,61.3,2578,170.9,3028,586,1429,783,911,39,214,181,94,16,121,5359,9.1,335,6280,5.9,56,81,15143,2,40,617,84,90.0,94,59.8,2781,164.0,3252,175,358,220,525,67,135,81,157,1228,5443
0.62,93.61,5538,2.8,5559,4.326,668.4,85.80,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.30,308,0,68,668,391,261,280,261,79,1215,110,205,56,127.830959,14968,5.855990,40,607,84,90.0,0,61.1,2530,169.5,3041,586,1420,783,888,39,209,179,89,16,121,5264,9.1,332,6309,5.9,56,86,14613,2,40,607,84,89.1,89,59.6,2734,162.5,3268,175,352,220,512,67,132,81,153,1225,5431
0.64,92.09,5538,2.8,5559,4.318,656.5,85.81,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.30,306,0,68,656,391,255,280,255,79,1199,110,200,56,130.478975,7944,5.849639,40,599,84,89.2,0,61.0,2484,169.3,3029,586,1411,783,866,39,204,177,84,16,120,5171,9.1,331,6284,5.8,56,90,14014,2,40,599,84,88.2,84,59.4,2687,162.2,3255,175,346,220,499,67,129,81,150,1222,5419
0.66,90.61,5538,2.8,5559,4.311,644.8,85.81,73.16,0.55399,73.17,75.978,8.99,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.29,305,0,68,645,391,249,280,248,79,1183,110,195,56,131.970243,4474,5.856540,40,591,84,88.3,0,60.8,2439,169.6,3003,586,1402,783,845,39,199,176,80,16,120,5082,9.1,332,6231,5.9,56,95,13400,2,40,591,84,87.3,80,59.3,2642,162.5,3228,175,340,220,486,67,125,81,146,1220,5407
0.68,89.17,5538,2.8,5559,4.304,633.4,85.81,73.16,0.55399,73.17,75.978,8.98,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.29,303,0,68,633,391,242,280,242,79,1167,110,190,56,132.901154,2793,5.869703,40,584,84,87.5,0,60.6,2396,170.1,2971,586,1394,783,824,39,194,174,76,16,120,4994,9.0,333,6165,5.9,56,99,12793,2,40,584,84,86.5,76,59.1,2598,163.1,3194,175,334,220,475,67,122,81,142,1217,5395
0.70,87.76,5538,2.8,5559,4.298,622.3,85.81,73.16,0.55399,73.17,75.978,8.98,94.79,40,0.008,4.3,357,16,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.29,302,0,68,622,391,236,280,236,79,1152,110,185,56,133.558751,1973,5.885765,40,576,84,86.6,0,60.5,2353,170.7,2936,586,1385,783,804,39,189,172,72,16,119,4908,9.0,335,6093,5.9,56,103,12205,2,40,576,84,85.6,72,58.9,2555,163.8,3157,175,328,220,464,67,119,81,139,1215,5383
0.72,86.38,5538,2.8,5559,4.292,611.4,85.82,73.16,0.55399,73.17,75.978,8.98,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.28,300,0,68,611,391,231,280,231,79,1137,110,180,56,134.080115,1564,5.903121,40,569,84,85.8,0,60.3,2312,171.4,2900,586,1377,783,784,39,184,171,68,15,119,4824,9.0,336,6018,5.9,56,107,11639,2,40,569,84,84.8,68,58.7,2512,164.6,3118,175,322,220,454,67,116,81,135,1213,5371
0.74,85.03,5538,2.8,5559,4.287,600.8,85.82,73.16,0.55399,73.17,75.978,8.97,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.28,298,0,68,601,391,225,280,225,79,1123,110,176,56,134.531241,1353,5.920998,40,561,84,85.0,0,60.1,2272,172.2,2863,586,1369,783,765,39,180,169,65,15,119,4742,9.0,338,5942,5.9,56,111,11098,2,40,561,84,84.0,65,58.5,2471,165.4,3079,175,317,220,443,67,113,81,132,1211,5359
0.76,83.72,5539,2.8,5559,4.282,590.4,85.82,73.16,0.55399,73.17,75.978,8.97,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.27,297,0,68,590,391,219,280,219,79,1109,110,171,56,134.944372,1239,5.939019,40,554,84,84.2,0,59.9,2232,172.9,2826,586,1361,783,746,39,175,167,62,15,118,4662,8.9,339,5865,5.9,56,114,10583,2,40,554,84,83.2,62,58.4,2430,166.2,3040,175,311,219,433,67,110,81,128,1209,5347
0.78,82.43,5539,2.8,5559,4.278,580.3,85.83,73.16,0.55399,73.17,75.978,8.97,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.26,295,0,68,580,391,214,280,215,79,1095,110,167,56,135.335541,1174,5.956998,40,547,84,83.5,0,59.8,2193,173.6,2789,586,1353,783,727,39,171,166,59,15,118,4583,8.9,341,5789,6.0,56,118,10091,3,40,547,84,82.4,59,58.2,2390,167.0,3000,175,306,219,424,67,108,81,125,1208,5335
0.80,81.17,5539,2.8,5559,4.274,570.4,85.83,73.16,0.55399,73.17,75.978,8.96,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.25,294,0,67,570,391,210,280,212,79,1081,110,163,56,135.712870,1132,5.974841,40,541,84,82.7,0,59.6,2155,174.4,2752,586,1346,783,711,39,167,164,56,15,118,4506,8.9,342,5713,6.0,56,121,9623,3,40,541,84,81.6,56,58.0,2351,167.8,2961,175,301,219,414,67,105,81,122,1206,5323
0.82,79.95,5539,2.8,5559,4.270,561.0,85.84,73.16,0.55399,73.17,75.978,8.95,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.24,293,0,67,561,391,205,280,209,79,1068,110,158,56,136.080554,1103,5.992501,40,534,84,82.0,0,59.4,2118,175.1,2715,586,1338,783,699,39,163,163,53,15,117,4431,8.9,344,5637,6.0,56,124,9178,3,40,534,84,80.8,53,57.8,2312,168.6,2922,175,296,219,405,67,102,81,119,1205,5311
0.84,78.75,5539,2.8,5559,4.267,552.1,85.85,73.16,0.55399,73.17,75.978,8.95,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.23,291,0,67,552,391,201,280,206,79,1055,110,154,56,136.440805,1081,6.009953,40,527,84,81.2,0,59.2,2082,175.8,2678,586,1331,783,687,39,159,161,50,15,117,4357,8.9,345,5561,6.0,56,127,8755,3,40,527,84,80.0,50,57.6,2274,169.4,2883,175,291,219,396,67,100,81,116,1204,5299
0.86,77.58,5539,2.8,5559,4.264,543.5,85.85,73.16,0.55399,73.17,75.978,8.94,94.79,40,0.008,4.3,357,15,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.22,290,0,67,543,391,197,280,203,79,1042,110,150,56,136.794818,1062,6.027186,40,521,84,80.5,0,59.1,2047,176.5,2642,586,1324,782,676,39,155,160,48,15,117,4284,8.8,347,5486,6.0,56,129,8352,3,40,521,84,79.3,48,57.4,2237,170.2,2844,175,287,219,387,67,97,81,113,1203,5287
0.88,76.43,5539,2.8,5559,4.262,535.1,85.86,73.16,0.55399,73.17,75.978,8.93,94.79,40,0.008,4.3,357,14,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.21,289,0,67,535,391,194,280,201,79,1029,110,147,56,137.144843,1050,6.044175,40,515,84,79.8,0,58.9,2012,177.2,2605,586,1317,782,665,39,152,158,46,14,116,4213,8.8,348,5412,6.0,56,132,7969,3,40,515,84,78.6,46,57.3,2201,171.0,2806,175,282,219,378,67,95,81,110,1202,5275
0.90,75.32,5539,2.8,5559,4.267,526.9,85.87,73.16,0.55399,73.17,75.978,8.93,94.79,40,0.008,4.3,357,14,6.154143,14,16,5292,134,18,9.135,4.642,41,0.977,113.76,34.20,287,0,67,527,391,190,280,198,79,1017,109,143,56,137.144843,34,23.436047,40,509,84,79.1,0,58.7,1978,178.0,2566,586,1310,782,655,39,149,157,43,14,116,4143,8.8,350,5364,6.1,56,132,43,6,40,509,84,77.8,43,57.1,2165,171.9,2798,175,278,219,370,67,92,81,107,1204,5260
